"";"Andigena nigrirostris";"Anisognathus somptuosus";"Atlapetes schistaceus";"Aulacorhynchus prasinus";"Arremon brunneinucha";"Buthraupis montana";"Cardellina canadensis";"Chamaepetes goudotii";"Chlorornis riefferii";"Chlorospingus ophthalmicus";"Cnemoscopus rubrirostris";"Patagioenas subvinacea";"Conirostrum albifrons";"Setophaga fusca";"Diglossa caerulescens";"Diglossa cyanea";"Euphonia xanthogaster";"Leptopogon rufipectus";"Lipaugus fuscocinereus";"Mecocerculus poecilocercus";"Mionectes striaticollis";"Pachyramphus polychopterus";"Pachyramphus versicolor";"Penelope montagnii";"Pipraeidea melanonota";"Pipreola riefferii";"Poecilotriccus ruficeps";"Tangara heinei";"Tangara labradorides";"Tangara nigroviridis";"Tangara vassorii";"Tangara xanthocephala";"Sporathraupis cyanocephala";"Trogon personatus";"Turdus serranus"
"Antidaphne viscoidea";0;4;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Cayaponia buraeavii";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cestrum humboldtii";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
"Cestrum racemosum";0;3;0;0;0;0;0;6;0;19;0;1;0;0;0;3;0;0;0;3;2;0;0;2;0;0;0;1;0;6;0;0;0;0;6
"Cissus tinctoria";0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cladocolea archeri";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Clusia alata";0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Varronia curassavica";0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"Freziera bonplandiana";0;3;0;1;0;6;0;0;5;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Geonoma undata";0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Guettarda crispiflora";6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"Hieronyma scabra";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
"Miconia aggregata";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia lonchophylla";0;0;0;0;1;0;0;0;0;9;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;4;0;13;0;7;0;0;0
"Miconia orescia";0;2;2;0;0;0;1;0;0;1;0;0;0;0;0;1;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"Myrsine coriacea";0;0;0;0;0;0;0;5;0;4;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;2;0;0;5
"Palicourea angustifolia";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
"Passiflora alnifolia";0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus glaucus";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Siparuna laurifolia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Solanum colombianum";3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thibaudia floribunda";0;2;0;0;0;0;1;0;0;2;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;3;1;0;4;2;0;2
"Tournefortia fuliginosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0
