"";"Ampelion rubrocristatus";"Andigena hypoglauca";"Anisognathus igniventris";"Aulacorhynchus coeruleicinctis";"Buthraupis montana";"Cacicus chrysonotus";"Chlorornis riefferii";"Diglossa brunneiventris";"Diglossa cyanea";"Diglossa mystacalis";"Diglossa sittoides";"Elaenia albiceps";"Elaenia pallatangae";"Iridosornis jelskii";"Mionectes striaticollis";"Patagioenas fasciata";"Penelope montagnii";"Pipreola arcuata";"Pipreola intermedia";"Tangara nigroviridis";"Tangara vassorii";"Thraupis bonariensis";"Sporathraupis cyanocephala";"Trogon personatus";"Turdus fuscater";"Turdus serranus"
"Bejaria aestuans";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Cavendishia bracteata";0;0;0;0;0;0;4;0;9;0;0;0;0;5;0;0;0;1;0;0;0;0;3;0;1;1
"Cestrum parqui";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Clusia alata";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Clusia elliptica";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dendrophthora chrysostachya";0;0;23;0;2;0;8;0;17;0;0;0;0;3;0;0;0;0;0;0;3;0;7;0;0;0
"Dendrophthora densifolia";0;0;4;0;0;0;2;0;5;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0
"Dendrophthora paucifolia";0;0;13;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Dendrophthora rotundata";0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Diogenesia vargasiana";0;0;23;0;5;0;3;1;18;0;0;0;14;4;0;0;0;1;0;0;0;0;2;0;3;1
"Disterigma alaternoides";0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Disterigma ovatum";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Freziera karsteniana";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
"Freziera reticulata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Freziera uncinata";0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
"Gaultheria bracteata";0;0;4;0;1;0;1;0;4;0;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0
"Gaultheria reticulata";0;0;11;0;5;0;2;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0
"Hedyosmum angustifolium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;4;0;0;0;0;0;0;0
"Hedyosmum cuatrecazanum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Hesperomeles ferruginea";0;0;1;0;13;0;5;0;0;0;0;0;0;2;0;0;1;6;1;0;0;0;0;0;10;0
"Licaria sp";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ligaria cuneifolia";0;0;0;0;1;0;16;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
"Miconia aprica";0;0;10;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;0;0
"Miconia denticulata";0;0;7;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0
"Miconia media";0;0;8;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
"Miconia micropetala";0;0;92;0;5;2;8;0;0;0;0;0;0;0;0;0;0;0;4;0;15;0;0;0;0;0
"Miconia rubens";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Monnina marginata";0;0;10;0;3;0;5;0;5;0;0;1;1;3;0;0;0;0;0;0;0;0;10;0;0;0
"Morella pubescens";0;0;8;0;20;10;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;3;1
"Muehlenbeckia tamnifolia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Myrsine coriacea";0;0;13;0;4;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;6;0;2;1
"Myrteola phylicoides";0;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"Orthaea boliviensis";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Palicourea stipularis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Gaultheria buxifolia";0;0;18;0;4;0;5;0;7;0;0;0;13;1;1;0;0;0;0;0;0;0;4;0;0;0
"Podocarpus oleifolius";0;0;18;0;8;0;12;0;0;0;0;0;0;0;0;24;3;3;9;0;0;0;2;1;0;0
"Prunus integrifolia";0;9;0;0;8;0;0;0;0;0;0;0;0;0;0;0;1;15;3;0;0;0;0;0;0;1
"Ruagea subviridiflora";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schefflera_net_181";5;3;15;0;140;14;40;0;5;0;0;0;2;0;0;5;2;2;1;2;47;0;36;0;1;0
"Smilax domingensis";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Styrax foveolaria";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Thibaudia diphylla";1;3;23;0;11;0;3;0;41;6;2;0;2;5;0;0;5;0;0;0;1;2;16;0;10;0
"Thibaudia_GBIFresolved_net_183";0;0;5;0;9;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"Tibouchina calycina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Tripodanthus acutifolius";0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Viburnum reticulatum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Viburnum seemenii";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
