"";"Corapipo altera";"Schiffornis turdina";"Pseudopipra pipra";"Manacus candei";"Mionectes olivaceus";"Mionectes oleagineus";"Myadestes melanops";"Catharus mexicanus";"Turdus obsoletus";"Turdus grayi";"Tangara icterocephala";"Chrysocorypha delatrii";"Tangara florida";"Chlorospingus ophthalmicus"
"Guatteria aeruginosa";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Ilex hemiepiphytica";0;0;0;1;0;0;0;0;0;0;3;1;1;0
"Ilex maxima";1;0;0;0;0;1;0;0;0;0;2;0;0;0
"Anthurium cuspidatum";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Anthurium michelii";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Anthurium tenerum";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sciodaphyllum sphaerocoma";3;0;0;0;0;0;0;0;1;0;4;0;0;0
"Schefflera systyla";1;0;1;0;0;0;1;0;1;0;3;0;1;0
"Chamaedorea pinnatifrons";0;1;0;0;0;0;1;0;0;0;0;0;0;0
"Chamaedorea sp";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Geonoma epetiolata";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Pholidostachys pulchra";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Clibadium eggersii";2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hedyosmum bonplandianum";2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hedyosmum costaricense";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hedyosmum scaberrimum";6;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chrysochlamys nicaraguensis";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Clusia cretosa";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Clusia gracilis";3;0;0;0;4;4;0;0;0;0;0;5;0;0
"Clusia palmana";0;0;1;0;0;0;0;0;0;0;0;4;0;0
"Clusia stenophylla";2;0;0;0;3;2;0;0;0;0;0;4;0;0
"Clusiella isthmensis";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Doliocarpus multiflorus";0;0;0;1;0;0;0;0;0;3;0;0;0;0
"Cavendishia capitulata";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cavendishia complectens";2;0;0;2;0;0;0;0;1;1;0;0;0;0
"Cavendishia endresii";3;0;0;0;0;0;0;1;1;0;0;0;0;0
"Sphyrospermum buxifolium";0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Vaccinium orosiense";0;0;0;0;0;0;1;0;0;0;0;1;0;0
"Hieronyma oblonga";0;0;0;0;0;0;0;0;2;0;0;0;0;0
"Tetrorchidium euryphyllum";0;0;0;0;1;1;0;0;0;0;0;0;0;0
"Besleria columneoides";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Besleria notabilis";0;0;0;0;0;0;0;0;2;2;0;0;0;0
"Columnea parviflora";0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Drymonia sp";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Marcgravia caudata";3;0;0;0;0;0;0;0;1;1;0;0;0;0
"Marcgravia pittieri";1;0;0;0;0;0;1;0;1;0;1;0;0;0
"Blakea anomala";0;0;1;0;0;0;0;0;0;0;0;4;0;0
"Blakea tuberculata";3;3;0;0;0;0;0;0;0;0;0;2;1;0
"Miconia purpureoviolacea";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Miconia neoepiphytica";4;0;2;0;0;0;0;0;0;0;0;0;1;0
"Miconia conomicrantha";72;7;8;8;1;4;10;8;11;3;9;9;2;4
"Miconia subcrustulata";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia xalapensis";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Henriettea tuberculosa";16;0;1;1;0;0;0;0;1;0;0;2;0;0
"Miconia longicoma";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia argentea";1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Miconia centrodesma";5;0;0;0;0;0;0;3;0;0;1;1;0;0
"Miconia ligulata";0;0;0;4;0;0;0;0;0;0;0;0;0;0
"Miconia loreyoides";3;0;1;2;0;0;0;0;0;0;2;4;1;0
"Miconia multiplinervia";3;0;1;0;0;0;0;0;0;0;0;0;0;2
"Ossaea brenesii";17;3;0;0;0;0;0;0;0;0;0;3;0;1
"Miconia rubescens";2;0;0;2;0;0;0;0;0;0;0;5;0;0
"Ficus colubrinae";1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Neea amplifolia";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phytolacca rivinoides";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Hamelia patens";0;0;0;0;0;0;0;0;1;0;0;0;1;0
"Palicourea gomezii";0;0;0;1;0;0;1;0;0;0;0;0;0;0
"Psychotria buchtienii";6;0;1;0;1;0;0;0;0;0;0;0;0;0
"Psychotria cooperi";8;0;1;0;0;0;2;0;0;0;0;0;0;0
"Psychotria berteroana";5;0;0;0;0;0;0;0;0;0;0;0;0;0
"Witheringia solanacea";1;0;0;0;0;0;0;1;0;0;0;0;0;0
"Phoradendron chrysocladon";0;0;0;0;0;0;0;1;0;0;0;0;0;1
