;Turdus leucomelas;Tangara cayana;Antilophia galeata;Dacnis cayana;Elaenia chiriquensis;Saltator similis;Hemithraupis guira;Turdus subalaris;Tersina viridis;Turdus rufiventris;Tachyphonus rufus;Phyllomyias fasciatus;Euphonia chlorotica;Elaenia flavogaster;Elaenia cristata;Tangara sayaca;Coereba flaveola;Tangara palmarum;Elaenia mesoleuca;Vireo olivaceus;Cyanocorax cristatellus;Sporophila nigricollis;Empidonomus varius;Elaenia obscura;Turdus albicollis;Saltator maximus;Catharus fuscenses;Tyrannus melancholicus;Baryphthengus ruficapillus;Trichothraupis melanops;Myiodynastes maculatus;Neopelma pallescens;Mionectes rufiventris;Megarynchus pitangua;Myiarchus ferox;Ramphastos vitellinus;Euphonia violacea;Eucometis penicillata;Ramphocelus carbo;Turdus amaurochalinus;Cnemotriccus fuscatus;Sporophila caerulescens;Penelope superciliaris;Myiarchus swainsoni;Euphonia cyanocephala;Schistochlamys melanopis;Patagioenas plumbea;Ramphastos toco;Thamnophilus caerulescens;Schiffornis virescens;Arremon flavirostris;Trogon surrucura;Tityra cayana;Myiopagis caniceps;Leptopogon amaurocephalus;Casiornis rufus;Tyrannus savana;Nemosia pileata;Pipraeidea melanonota;Tolmomyias sulphurescens;Colonia colonus;Pitangus sulphuratus;Cyclarhis gujanensis;Piranga flava;Cyanerpes cyaneus;Thlypopsis sordida
Guatteria australis;28;5;72;1;7;0;0;0;0;16;0;0;0;10;0;0;0;0;0;0;0;0;0;4;9;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xylopia aromatica;1;5;6;68;0;1;1;0;0;0;0;53;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Didymopanax morototoni;92;13;14;0;58;6;0;0;0;2;0;0;0;22;1;12;0;9;0;0;0;0;0;28;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Protium spruceanum;21;79;48;47;100;15;88;0;2;11;54;0;38;18;0;14;23;12;0;0;0;0;1;4;1;7;1;0;0;17;0;0;0;1;0;1;8;4;7;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0
Alchornea triplinervia;7;50;19;127;8;18;67;40;12;0;3;80;0;3;0;1;0;4;35;49;0;0;16;0;0;12;0;0;0;0;5;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Richeria grandis;3;27;15;2;27;9;3;0;0;0;17;0;0;1;22;11;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phoradendron crassifolium;1;13;5;5;0;3;8;0;0;0;4;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psittacanthus robustus;0;4;44;0;4;0;0;0;6;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia cuspidata;20;46;38;6;32;42;39;2;4;0;12;0;2;18;26;7;1;0;15;0;0;24;0;2;0;1;0;0;0;4;0;0;0;0;0;0;0;3;1;0;0;3;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;3;3;0;1;1;0;1;0;0
Miconia pepericarpa;1;29;53;11;42;1;19;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Mouriri glazioviana;4;8;0;16;0;49;4;0;0;11;2;0;0;0;0;0;9;0;0;0;39;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
