;Himatione sanguinea;Zosterops japonicus;Chlorodrepanis flava;Leiothrix lutea;Pycnonotus jocosus
Cheirodendron platyphyllum;0;0;0;2;0
Clidemia hirta;2;11;1;7;0
Dianella ensifolia;0;0;0;2;0
Byronia anomala;0;1;0;1;0
Perrottetia sandwicensis;0;1;0;0;0
Pipturus albidus;0;9;0;2;0
Psidium cattleyanum;0;1;0;1;0
Rivina humilis;0;2;0;0;0
Rubus pensilvanicus;0;24;0;12;1
Rubus rosifolius;0;6;0;3;0
Schinus terebinthifolius;0;1;0;0;0
Trema orientalis;0;1;0;1;0
Melicope_GBIFresolved_net_046;0;0;0;0;1
Vaccinium calycinum;0;1;0;0;0
