"";"Ramphocelus passerinii";"Mionectes oleagineus";"Saltator maximus";"Manacus candei";"Turdus grayi";"Dumetella carolinensis";"Hylocichla mustelina"
"Piper sancti-felicis";1;0;0;0;0;0;0
"Piper multiplinervium";1;0;0;0;0;0;0
"Piper auritum";3;1;0;0;0;0;0
"Piper peltatum";0;0;1;0;0;0;0
"Lycianthes multiflora";0;0;2;0;0;0;0
"Ficus colubrinae";1;0;0;0;1;0;0
"Miconia subcrustulata";5;1;2;6;1;0;0
"Casearia arborea";0;4;0;1;0;0;0
"Phytolacca rivinoides";13;1;17;14;2;7;3
"Clibadium eggersii";0;0;1;1;0;0;0
"Hamelia patens";6;0;17;24;0;7;1
"Witheringia asterotricha";1;0;0;2;0;1;0
"Hampea appendiculata";0;2;0;8;2;1;2
"Ficus padifolia";0;0;0;0;3;0;0
"Miconia barbinervis";0;0;0;7;0;0;1
"Neea psychotrioides";0;0;0;6;0;1;0
"Xiphidium caeruleum";0;0;0;0;0;3;2
"Palicourea cyanococca";0;0;0;3;0;3;7
