"";"Tangara palmarum";"Tangara sayaca";"Tangara cayana";"Tangara seledon";"Dacnis cayana";"Cyanerpes cyaneus";"Nemosia pileata";"Elaenia flavogaster";"Myiozetetes similis";"Pitangus sulphuratus";"Turdus rufiventris";"Turdus leucomelas";"Vireo olivaceus";"Cyclarhis gujanensis";"Coereba flaveola";"Icterus cayanensis";"Sporophila nigricollis"
"Anacardium occidentale";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tapirira guianensis";3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Didymopanax morototoni";66;0;0;0;0;0;0;5;1;0;1;10;0;0;0;0;0
"Elaeis guineensis";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"Monteverdia distichophylla";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"Hirtella ciliata";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Curatella americana";3;2;0;0;2;3;0;1;3;0;0;0;0;0;0;0;0
"Pera glabrata";1;0;3;1;16;23;0;0;8;0;0;0;2;2;0;0;0
"Sapium glandulosum";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Byrsonima sericea";4;1;1;0;0;0;0;0;4;0;0;5;1;0;0;2;0
"Clidemia hirta";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia minutiflora";56;6;5;0;8;0;6;3;18;1;2;6;1;0;1;0;0
"Miconia albicans";1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
"Miconia ciliata";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrsine gardneriana";11;1;6;0;0;0;0;2;0;0;0;1;0;1;0;0;0
"Myrcia guianensis";0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Syzygium loiseleurioides";10;2;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"Syzygium cumini";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Guapira olfersiana";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Paspalum notatum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
"Allophylus edulis";0;0;0;0;1;0;0;1;2;2;0;5;0;0;0;0;0
"Cupania emarginata";12;4;3;0;0;0;0;1;3;0;0;1;3;2;0;0;0
"Paullinia micrantha";1;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
