"";"Turdus merula";"Fringilla montifringilla";"Cyanistes caeruleus";"Fringilla coelebs";"Dendrocopos major";"Sylvia communis";"Garrulus glandarius";"Pica pica";"Passer montanus";"Phylloscopus trochilus";"Sylvia borin";"Phoenicurus phoenicurus";"Pyrrhula pyrrhula";"Emberiza citrinella";"Muscicapa striata";"Chloris chloris";"Phoenicurus ochruros";"Passer domesticus";"Columba oenas";"Coccothraustes coccothraustes";"Sylvia curruca";"Parus major";"Turdus viscivorus";"Leiopicus medius";"Sylvia atricapilla";"Corvus corone";"Columba palumbus";"Turdus iliacus";"Erithacus rubecula";"Turdus philomelos";"Regulus ignicapilla";"Sturnus vulgaris";"Poecile palustris";"Ficedula hypoleuca";"Streptopelia decaocto";"Turdus pilaris";"Poecile montanus";"Phylloscopus collybita";"Hippolais icterina"
"Bryonia dioica";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;6;0;0;0;0;0;0
"Cornus mas";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cornus sanguinea";21;0;63;0;0;5;0;0;0;1;4;21;0;0;2;0;39;0;0;0;6;13;0;0;77;0;0;0;17;17;1;32;0;3;0;0;0;15;1
"Cotoneaster bullatus";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Crataegus laevigata";48;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
"Crataegus monogyna";457;5;62;17;0;1;7;0;15;0;4;0;2;3;0;6;3;1;0;0;1;19;5;0;7;0;1;7;1;16;1;3;0;0;1;3;0;11;0
"Euonymus europaeus";10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;9;0;0;0;0;2;0;0;5;0;0;0;23;1;0;243;0;0;0;0;0;0;0
"Frangula alnus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;13;0;0;0;2;1;0;0;0;0;0;0;0;0;0
"Hippophae rhamnoides";1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;6;0
"Ligustrum vulgare";9;0;6;0;0;0;0;0;0;0;1;0;12;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0
"Lonicera xylosteum";0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Malus domestica";6;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"Prunus avium";89;0;54;3;3;17;11;2;30;0;52;0;0;0;0;1;0;1;4;2;22;69;0;1;83;1;4;0;0;10;0;237;1;0;0;2;0;1;0
"Padus avium";8;0;6;1;0;7;0;0;0;0;8;0;0;0;0;0;0;0;0;33;0;6;0;0;30;0;0;0;0;0;0;1;0;0;0;0;3;0;0
"Prunus domestica";20;0;13;0;0;0;2;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;3;1;0;0;1;0;0;0;0;3;0
"Pyrus communis";6;0;33;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;2;0;0;0;0;0;0;38;0;0;0;0;0;0;0
"Rhamnus cathartica";9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rosa canina";1;0;11;1;0;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Rubus fruticosus";7;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;5;0;0;0;4;0;0;0;0;1;0
"Sambucus ebulus";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sambucus nigra";34;0;22;10;0;10;0;0;5;0;24;0;2;0;0;0;3;2;0;0;8;3;3;0;129;0;2;0;5;8;0;6;1;0;0;0;0;8;0
"Sambucus racemosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;5;0;0;0;0;0;0;0;0;0;0
"Sorbus aucuparia";215;0;14;5;0;3;0;0;0;0;5;0;23;0;0;0;2;3;0;1;2;0;6;0;49;0;0;0;0;21;0;3;0;0;0;11;1;2;0
"Taxus baccata";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viburnum lantana";0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viburnum opulus";4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;6;0;0;0;3;23;0;0;0;0;0;0;0;4;0
