"";"Crotophaga major";"Piaya cayana";"Celeus flavescens";"Pseudopipra pipra";"Ceratopipra rubrocapilla";"Procnias nudicollis";"Pachyramphus polychopterus";"Camptostoma obsoletum";"Elaenia flavogaster";"Tolmomyias flaviventris";"Myiophobus fasciatus";"Satrapa icterophrys";"Megarynchus pitangua";"Myiarchus tyrannulus";"Myiozetetes similis";"Pitangus sulphuratus";"Tyrannus melancholicus";"Mimus gilvus";"Turdus flavipes";"Turdus amaurochalinus";"Turdus fumigatus";"Turdus leucomelas";"Vireo olivaceus";"Sporophila caerulescens";"Sporophila leucoptera";"Volatinia jacarina";"Euphonia chlorotica";"Euphonia violacea";"Cacicus haemorrhous";"Coereba flaveola";"Coryphospingus pileatus";"Cyanerpes cyaneus";"Dacnis cayana";"Hemithraupis flavicollis";"Nemosia pileata";"Pipraeidea melanonota";"Ramphocelus bresilius";"Saltator maximus";"Tangara cayana";"Tangara mexicana";"Tangara palmarum";"Tangara sayaca"
"Clusia hilariana";4;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;84;6;0;0;0;0;7;0;0;0;0
"Varronia curassavica";0;0;0;0;0;0;1;7;12;1;1;1;0;2;7;0;0;6;0;0;0;0;1;3;6;17;0;13;3;45;0;54;13;0;1;10;2;5;0;16;1;1
"Cupania emarginata";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus hirsuta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0;0;0;1;0;0;0;0;0;0;17;0;0
"Guapira olfersiana";0;0;0;0;4;2;0;0;1;0;0;0;0;0;0;2;5;0;17;3;0;0;0;0;0;0;0;2;14;61;0;22;26;3;0;0;0;14;0;1;0;10
"Lantana pohliana";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;0;0;0;0;0;12;0;0
"Myrcia fallax";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;56;27;0;0;0;0;1;0;0;0;0
"Myrsine gardneriana";0;2;64;0;0;0;0;0;12;0;0;0;0;0;15;3;2;0;5;39;0;11;2;0;0;0;0;1;0;0;0;18;48;0;0;0;0;14;1;7;0;33
"Pera glabrata";0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;1;276;64;1;0;0;0;0;0;0;0;0
"Phoradendron piperoides";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Protium heptaphyllum";0;0;0;1;0;17;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;16;0;0;0;0;2;33;69;1;0;8;0;0;0;0;0;7;1;11;48;10
"Schinus terebinthifolius";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;4;0;0;0;0;0;0;24;0;0
"Sorocea ilicifolia";0;0;0;0;0;3;0;0;0;0;0;0;8;0;0;9;0;0;21;2;3;0;0;0;0;0;0;7;9;0;0;0;0;0;0;0;0;0;0;4;0;4
