"";"Sylvia atricapilla";"Sylvia borin";"Erithacus rubecula";"Sylvia melanocephala";"Turdus merula";"Turdus philomelos";"Sylvia communis";"Sylvia hortensis";"Sylvia cantillans";"Ficedula hypoleuca";"Phoenicurus phoenicurus";"Sylvia undata";"Saxicola torquatus";"Cyanopica cyanus";"Luscinia megarhynchos";"Muscicapa striata";"Sturnus unicolor"
"Pistacia lentiscus";1370;336;317;49;115;14;17;9;21;41;9;14;5;12;5;11;61
"Olea europaea";146;1;31;2;30;20;0;0;0;0;0;0;1;1;0;0;1
"Olea angustifolia";96;15;1;14;37;1;6;3;3;6;0;0;0;1;0;0;0
"Rhamnus lycioides";21;85;1;48;6;0;4;0;3;2;1;0;0;1;1;1;0
"Smilax aspera";15;10;1;2;1;0;0;1;0;1;0;0;0;0;0;0;0
"Rubus ulmifolius";4;14;1;8;9;0;1;1;1;1;1;0;0;1;1;1;0
"Myrtus communis";25;0;26;2;5;4;0;0;1;0;0;1;1;1;0;0;2
"Daphne gnidium";71;52;1;16;0;0;2;0;3;0;1;0;0;0;0;0;0
"Rubia peregrina";27;38;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Osyris alba";1;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0
"Crataegus monogyna";1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
"Lonicera periclymenum";1;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
"Asparagus aculeatus";15;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
"Dioscorea communis";0;1;0;1;7;0;0;0;0;0;0;0;0;3;0;0;0
"Pyrus bourgaeana";1;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0
"Asparagus aphyllus";1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
