;Eupsittula nana;Campylorhynchus rufinucha;Dives dives;Dumetella carolinensis;Empidonax virescens;Hylocichla mustelina;Icteria virens;Icterus galbula;Icterus graduacauda;Icterus gularis;Icterus spurius;Leptotila verreauxi;Megarynchus pitangua;Melanerpes aurifrons;Myiarchus crinitus;Myiarchus tuberculifer;Myiarchus tyrannulus;Myiodynastes luteiventris;Myiozetetes similis;Ortalis vetula;Pachyramphus aglaiae;Passerina caerulea;Patagioenas flavirostris;Pheucticus ludovicianus;Piaya cayana;Piranga rubra;Pitangus sulphuratus;Polioptila caerulea;Psarocolius montezuma;Cyanocorax morio;Quiscalus mexicanus;Tangara abbas;Tangara episcopus;Tityra semifasciata;Trogon melanocephalus;Turdus grayi;Tyrannus forficatus;Tyrannus melancholicus;Tyrannus tyrannus;Vireo griseus;Vireo philadelphicus;Vireo solitarius
Achatocarpus nigricans;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;5;0;0;0;1;0;1;0;0;4;0;2;0;0;0;0;0;0;0;0
Bursera fagaroides;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Bursera simaruba;49;0;0;1;1;0;1;15;1;3;3;0;55;37;3;4;0;1;73;2;3;1;0;2;0;1;68;0;22;11;0;2;0;36;3;0;55;2;0;4;1;6
Casearia arborea;0;0;0;2;1;0;1;3;0;0;0;0;0;0;0;4;10;0;3;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;4;0;0;274;0;1;0
Chiococca alba;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Coccoloba barbadensis;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cordia dentata;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
Crateva tapia;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
Chrysobalanus icaco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Crossopetalum uragoga;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupania dentata;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;3;0;4;0;2;0;0;0;0
Dendropanax arboreus;0;0;0;0;0;0;0;0;0;1;0;5;5;13;0;0;0;0;9;3;0;0;45;0;0;0;2;0;52;10;0;6;0;15;0;0;0;0;0;0;0;0
Diospyros salicifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Ehretia tinifolia;0;0;21;0;0;0;0;0;0;0;0;0;3;17;0;0;0;0;1;9;1;0;69;0;1;0;9;0;0;2;0;10;0;0;1;0;0;0;0;0;0;0
Ficus cotinifolia;13;0;2;0;0;0;0;130;0;0;12;0;9;17;0;0;0;0;13;2;0;0;11;0;0;0;17;0;2;8;0;12;4;3;0;11;0;0;62;0;0;0
Ficus insipida;13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Karwinskia humboldtiana;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
Maclura tinctoria;0;0;0;0;0;0;0;0;0;11;17;0;1;19;0;0;0;0;0;17;0;0;0;0;0;0;2;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0
Nectandra salicifolia;0;0;0;11;0;0;0;15;0;0;2;0;8;15;0;0;3;2;5;4;0;0;0;0;1;0;17;0;0;0;0;2;0;8;1;21;2;0;370;0;0;0
Opuntia stricta;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paullinia tomentosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0
Psittacanthus calyculatus;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Psychotria erythrocarpa;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;25;0;0;0
Rourea glabra;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;3;0;9;0;0;0;0;0;0
Smilax aristolochiifolia;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solanum diphyllum;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
Tabernaemontana litoralis;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichilia hirta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Vitis vulpina;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xylosma panamensis;0;0;0;2;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
