"";"Ducula rufigaster";"Ducula zoeae";"Gymnophaps albertisii";"Megaloprepia magnifica";"Ptilinopus perlatus";"Ptilinopus superbus";"Ptilinopus pulchellus";"Ptilinopus iozonus";"Ptilinopus nainus";"Manucodia chalybatus";"Lophorina magnifica";"Cicinnurus magnificus";"Paradisaea raggiana";"Melanocharis nigra";"Dicaeum pectorale";"Zosterops minor";"Coracina lineata";"Edolisoma morio";"Lalage leucomela";"Pachycephala simplex";"Pitohui dichrous";"Melilestes megarhynchus";"Microptilotis mimikae";"Meliphaga aruensis";"Microptilotis analogus";"Oriolus szalayi";"Cracticus cassicus";"Mino dumontii";"Ailuroedus buccoides"
"Xylosma papuanum";0;0;0;1;0;40;0;0;0;2;0;31;20;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
"Schefflera thaumasiantha";0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
"Schefflera elliptica";0;0;0;0;0;0;0;0;0;0;0;1;1;28;2;12;0;0;0;1;0;1;3;4;0;0;0;0;0
"Polyscias ledermannii";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0
"Elaeocarpus angustifolius";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cryptocarya_GBIFresolved_net_091";0;7;0;2;0;4;0;1;0;2;1;0;2;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0
"Magnolia tsiampacca";0;0;0;0;0;1;0;0;0;0;2;20;5;1;0;66;0;0;0;1;0;0;5;8;1;0;0;0;0
"Aglaia silvestris";0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aglaia spectabilis";1;4;13;4;0;4;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus benjamina";1;0;0;21;9;11;17;9;6;7;0;2;1;0;0;1;13;0;0;0;5;0;0;3;0;0;0;0;1
"Ficus variegata";0;0;0;0;0;0;6;1;0;0;0;1;4;13;6;0;5;1;1;0;5;0;0;13;0;0;0;0;2
"Ficus rhizophoriphylla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0
"Alphitonia macrocarpa";0;0;0;0;0;0;0;0;0;2;0;2;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
