"";"Estrilda astrild";"Garrulax canorus";"Zosterops japonicus";"Cardinalis cardinalis";"Leiothrix lutea";"Pycnonotus cafer";"Pycnonotus jocosus";"Kittacincla malabarica"
"Clidemia hirta";0;1;36;1;117;0;10;2
"Hedychium gardnerianum";0;0;0;0;1;0;0;0
"Lantana camara";0;0;1;0;0;0;0;0
"Leptecophylla tameiameiae";0;0;0;0;5;0;0;0
"Myrsine lessertiana";0;0;0;0;1;0;0;0
"Pipturus albidus";0;0;1;0;1;0;0;0
"Psidium cattleyanum";0;0;13;0;11;1;1;1
"Psidium guajava";0;0;2;0;2;0;0;0
"Psydrax odorata";0;0;1;0;3;0;0;0
"Rivina humilis";1;0;2;0;0;0;0;0
"Rubus rosifolius";0;0;34;0;81;1;10;0
"Schinus terebinthifolius";0;0;7;0;2;0;3;0
"Trema orientalis";0;0;2;0;0;0;1;0
