"";"Geospiza parvula";"Geospiza psittacula";"Crotophaga ani";"Setophaga petechia";"Geospiza fortis";"Geospiza fuliginosa";"Geospiza magnirostris";"Mimus melanotis";"Myiarchus magnirostris"
"Chiococca alba";0;0;0;0;0;0;0;17;0
"Desmodium incanum";0;0;0;0;0;1;2;0;0
"Desmodium procumbens";0;0;0;0;0;0;1;0;0
"Eragrostis_net_058";0;0;0;0;1;36;0;0;0
"Fimbristylis dichotoma";0;0;0;0;0;18;0;0;0
"Hypoxis decumbens";0;0;0;0;0;1;0;0;0
"Lantana camara";0;0;0;0;0;0;0;5;8
"Tricerma octogonum";0;0;0;0;0;0;0;1;0
"Mentzelia aspera";0;0;0;0;0;1;0;0;0
"Miconia robinsoniana";0;0;0;3;3;7;0;0;0
"Paspalum conjugatum";0;0;0;1;0;8;0;0;0
"Passiflora foetida";0;0;0;0;0;0;0;1;0
"Cenchrus purpureus";0;0;0;1;0;0;0;0;0
"Polygonum sp";0;0;0;0;0;4;0;0;0
"Portulaca oleracea";0;0;0;0;0;1;0;1;0
"Psidium guajava";0;0;0;0;0;0;0;1;0
"Rubus niveus";0;0;0;0;2;0;0;5;1
"Scutia spicata";0;0;0;0;0;0;0;1;0
"Solanum americanum";1;0;0;0;0;0;0;0;0
"Talinum paniculatum";3;1;0;1;1;3;1;0;0
"Tournefortia psilostachya";0;0;0;1;0;0;0;5;0
"Tournefortia pubescens";0;0;0;0;0;0;0;2;2
"Vallesia glabra";0;0;0;0;0;0;0;1;0
"Zanthoxylum fagara";0;0;1;0;0;0;0;6;17
