"";"Chlorospingus ophthalmicus";"Tangara sayaca";"Pipraeidea melanonota";"Vireo olivaceus";"Catharus swainsoni";"Cyanocorax chrysops";"Zonotrichia capensis";"Setophaga pitiayumi";"Turdus rufiventris";"Elaenia albiceps";"Pachyramphus validus";"Atlapetes fulviceps";"Pheucticus aureoventris";"Myiarchus tyrannulus";"Colaptes rubiginosus";"Turdus nigriceps";"Myiodynastes maculatus"
"Vassobia breviflora";35;4;11;3;2;10;6;8;1;4;0;4;1;0;0;1;0
"Podocarpus parlatorei";20;5;9;2;5;0;0;0;0;1;8;0;1;3;1;0;1
"Zanthoxylum coco";22;4;0;11;5;0;0;0;0;0;1;0;0;0;0;0;0
"Scutia buxifolia";15;2;5;1;1;2;5;0;3;0;0;2;2;0;0;0;0
"Eugenia moraviana";11;9;5;1;2;2;0;1;2;1;0;0;0;0;0;0;0
"Allophylus edulis";8;1;0;0;1;2;2;0;3;0;0;0;0;0;0;1;0
"Rhipsalis floccosa";12;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"Ilex argentina";0;6;1;0;4;0;0;0;1;2;0;0;0;0;0;0;0
"Blepharocalyx salicifolius";3;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0
"Sambucus nigra";5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"Viburnum seemenii";4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"Sapium glandulosum";1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Morella chevalieri";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
