"";"Garrulus glandarius";"Fringilla coelebs";"Ficedula hypoleuca";"Parus major";"Passer montanus";"Sylvia atricapilla";"Sylvia borin";"Erithacus rubecula";"Turdus merula";"Turdus philomelos"
"Sambucus nigra";0;0;0;0;0;10;0;0;0;3
"Viburnum tinus";0;0;0;0;0;2;0;0;0;0
"Hedera helix";0;0;0;0;0;53;0;1;10;2
"Celtis australis";0;1;0;1;0;52;0;0;1;1
"Acacia melanoxylon";0;0;0;0;0;3;0;0;0;0
"Apollonias barbujana";0;0;0;0;0;0;0;0;1;0
"Phytolacca americana";0;0;1;0;0;19;1;1;0;1
"Poa annua";0;0;0;0;1;0;0;0;0;0
"Rubus ulmifolius";1;0;0;0;0;12;1;3;1;0
"Smilax aspera";0;0;0;0;0;2;0;0;0;0
"Solanum americanum";0;0;0;0;0;14;0;1;0;0
