;Anisognathus igniventris;Anisognathus somptuosus;Psittacara mitratus;Aulacorhynchus coeruleicinctis;Catharus ustulatus;Chiroxiphia boliviana;Chlorophonia cyanea;Chlorospingus ophthalmicus;Cyanocorax cyanomelas;Cyanocorax yncas;Diglossa cyanea;Elaenia obscura;Elaenia pallatangae;Entomodestes leucotis;Eubucco versicolor;Euphonia xanthogaster;Mionectes striaticollis;Setophaga pitiayumi;Patagioenas plumbea;Penelope montagnii;Phyllomyias uropygialis;Pionus sordidus;Pionus tumultuosus;Pipreola frontalis;Pipreola intermedia;Psarocolius decumanus;Pyrrhura molinae;Tangara vassorii;Tangara xanthocephala;Sporathraupis cyanocephala;Tangara sayaca;Turdus albicollis;Veniliornis nigriceps
Alchornea triplinervia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Beilschmiedia tovarensis;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clusia lechleri;1;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0
Clusia sphaerocarpa;0;0;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;7;0;0;0;0;0;0;1
Clusia trochiformis;0;13;0;0;20;3;0;3;0;0;0;0;1;0;19;2;38;0;0;0;0;0;0;0;0;0;45;3;20;1;0;0;0
Dendrophthora macbridei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0
Ficus americana;0;2;0;5;7;5;9;6;0;0;0;0;0;0;1;9;0;0;4;2;0;41;0;1;6;1;12;4;20;0;1;2;0
Freziera lanata;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
Guatteria terminalis;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hedyosmum angustifolium;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieronyma alchorneoides;0;2;0;1;0;3;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;10;2;0;0;0
Hieronyma moritziana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0
Inga fendleriana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;0;0;0;0;0;0;0;0;0;0
Miconia sublanata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Pfeiffera boliviana;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia boliviensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
Miconia brittonii;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
Miconia cordata;0;11;0;0;0;9;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;14;0;1;0;0;0
Miconia hygrophila;0;2;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Miconia plumifera;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mollinedia steinbachiana;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myrsine coriacea;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Palicourea attenuata;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Persea bilocularis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Prumnopitys_GBIFresolved_net_040;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
Symplocos arechea;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Symplocos colorata;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thibaudia diphylla;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;2;0;0;0
Viburnum seemenii;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
