"";"Himatione sanguinea";"Zosterops japonicus";"Cardinalis cardinalis";"Leiothrix lutea";"Pycnonotus cafer";"Pycnonotus jocosus";"Kittacincla malabarica"
"Clidemia hirta";1;18;3;89;1;14;2
"Hedychium gardnerianum";0;0;0;1;0;0;0
"Lantana camara";0;1;0;0;0;0;0
"Pipturus albidus";0;9;0;14;3;23;0
"Psidium cattleyanum";0;3;0;7;0;1;0
"Psidium guajava";0;1;1;5;0;1;0
"Psydrax odorata";0;1;0;0;0;0;0
"Rubus rosifolius";0;18;0;59;2;15;1
"Schinus terebinthifolius";0;10;0;13;1;2;0
"Trema orientalis";0;1;0;1;0;0;0
