"";"Zosterops japonicus";"Leiothrix lutea";"Pycnonotus cafer";"Pycnonotus jocosus";"Kittacincla malabarica";"Geopelia striata"
"Ardisia elliptica";0;0;1;0;0;0
"Carmona microphylla";1;0;0;2;0;0
"Clidemia hirta";11;66;0;11;2;0
"Lantana camara";0;2;0;1;0;0
"Paederia foetida";1;2;0;0;0;0
"Passiflora suberosa";0;0;1;1;0;0
"Psidium cattleyanum";6;8;0;0;0;0
"Psidium guajava";2;3;0;0;0;1
"Rivina humilis";0;1;1;0;1;0
"Rubus rosifolius";1;0;0;1;1;0
"Schefflera actinophylla";1;0;0;4;0;0
"Schinus terebinthifolius";14;7;0;2;0;0
"Trema orientalis";40;122;7;29;1;0
"Momordica charantia";0;0;0;2;0;0
"Syzygium cumini";0;0;0;1;0;0
"Tanarius mappa";0;1;0;0;0;0
