"";"Turdus merula";"Anthornis melanura";"Notiomystis cincta";"Nestor meridionalis";"Philesturnus carunculatus";"Prosthemadera novaeseelandiae";"Zosterops lateralis";"Mohoua albicilla"
"Aristotelia serrata";9;0;0;0;0;15;23;0
"Coprosma grandifolia";39;7;33;0;30;60;56;2
"Coprosma robusta";140;11;11;0;7;150;153;5
"Coriaria arborea";4;0;0;0;0;28;46;1
"Cassine dentata";13;0;0;6;0;3;0;0
"Fuchsia excorticata";23;2;5;3;0;25;5;0
"Geniostoma rupestre";1;0;21;0;0;0;319;6
"Hedycarya arborea";3;0;1;11;3;0;0;0
"Melicytus ramiflorus";102;17;35;4;11;67;209;24
"Muehlenbeckia australis";6;2;1;0;1;7;34;2
"Myoporum laetum";49;0;3;0;1;76;1;0
"Rapanea australis";43;1;3;3;4;55;78;5
"Piper excelsum";18;0;4;1;11;61;1;0
"Pittosporum eugenioides";6;0;0;0;2;4;84;13
"Podocarpus totara";0;1;7;0;0;8;12;1
"Neopanax arboreus";4;1;12;2;19;20;190;16
"Smilax ripogonum";6;0;1;3;1;4;0;0
"Schefflera digitata";2;2;41;0;54;4;169;2
