"";"Tangara sayaca";"Elaenia strepera";"Turdus nigriceps";"Chlorospingus ophthalmicus";"Catharus swainsoni";"Thlypopsis sordida";"Pipraeidea melanonota";"Turdus rufiventris";"Euphonia cyanocephala";"Vireo olivaceus";"Penelope obscura";"Elaenia albiceps";"Cyanocorax chrysops";"Ramphastos toco";"Catharus dryas";"Elaenia obscura";"Leptotila megalura";"Cyanoloxia brissonii";"Pipraeidea bonariensis";"Trogon curucui";"Arremon flavirostris";"Myiodynastes maculatus"
"Blepharocalyx salicifolius";52;2;27;12;16;3;6;4;0;2;3;0;1;1;0;0;0;0;0;0;1;1
"Allophylus edulis";13;23;14;4;5;0;1;0;0;0;2;3;1;1;0;0;0;0;1;1;0;0
"Vassobia breviflora";5;24;2;0;1;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Scutia buxifolia";7;0;1;5;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0
"Sambucus nigra";2;7;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Eugenia uniflora";6;2;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rhipsalis floccosa";3;0;0;3;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ocotea porphyria";6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Solanum riparium";4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Urera baccifera";1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cissus striata";0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Tournefortia lilloi";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus imperialis";0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lepismium lorentzianum";0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Psychotria carthagenensis";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Phoradendron ensifolium";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Prunus tucumanensis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Celtis ehrenbergiana";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piper tucumanum";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cestrum parqui";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aechmea distichantha";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
