"";"Zosterops japonicus";"Leiothrix lutea";"Pycnonotus cafer";"Pycnonotus jocosus";"Spilopelia chinensis";"Kittacincla malabarica"
"Carmona microphylla";1;0;0;0;0;0
"Cestrum nocturnum";1;1;0;0;0;0
"Cheirodendron trigynum";0;1;0;0;0;0
"Cinnamomum burmannii";2;6;0;3;0;0
"Citharexylum caudatum";0;1;1;0;0;0
"Clermontia kakeana";1;1;0;0;0;0
"Clidemia hirta";5;27;0;1;0;1
"Cyanea angustifolia";0;1;0;0;0;0
"Freycinetia arborea";1;0;0;0;0;0
"Hedychium gardnerianum";1;1;0;2;0;0
"Byronia anomala";0;1;0;1;0;0
"Pipturus albidus";7;11;1;2;0;0
"Psidium cattleyanum";0;1;0;1;0;0
"Psidium guajava";0;1;0;0;0;0
"Rivina humilis";1;0;0;0;0;0
"Rubus rosifolius";3;26;0;1;0;0
"Schinus terebinthifolius";1;0;0;0;0;0
"Touchardia latifolia";0;1;0;1;0;0
"Trema orientalis";3;7;0;1;1;0
"Cecropia obtusifolia";0;0;0;1;0;0
