"";"Irena puella";"Treron phayrei";"Eudynamys scolopaceus";"Rubigula flaviventris";"Macropygia unchall";"Psilopogon duvaucelii";"Oriolus xanthornus";"Hypsipetes leucocephalus";"Oriolus chinensis";"Psilopogon asiaticus";"Lalage melaschistos";"Siva cyanouroptera";"Sitta cinnamoventris";"Gracula religiosa";"Aegithina tiphia";"Acridotheres tristis";"Orthotomus sutorius";"Sturnia malabarica";"Chloropsis aurifrons";"Picus canus";"Ducula aenea";"Garrulax pectoralis";"Psilopogon virens";"Chrysocolaptes guttacristatus";"Buceros bicornis";"Chrysophlegma flavinucha";"Acridotheres fuscus";"Coracina macei";"Picus chlorolophus";"Psilopogon lineatus";"Garrulax monileger";"Oriolus traillii";"Ducula badia";"Chloropsis hardwickii";"Anthracoceros albirostris";"Treron apicauda";"Psittacula alexandri";"Gallus gallus";"Pycnonotus cafer";"Pycnonotus jocosus";"Melanochlora sultanea";"Treron curvirostra";"Loriculus vernalis";"Yuhina flavicollis";"Rhyticeros undulatus";"Alophoixus flaveolus";"Treron sphenurus"
"Dysoxylum excelsum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"Aglaia spectabilis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;14;0;1;0;0;0;0;0;0;0;0;0;8;0;0
"Antidesma montanum";0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0
"Beilschmiedia1_GBIFresolved_net_051";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0
"Beilschmiedia2_GBIFresolved_net_051";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
"Bischofia javanica";0;25;0;13;0;0;0;9;0;1;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;12;0;0;17;274;0;0;0;0;0;4;0
"Bridelia glauca";0;0;0;92;0;0;0;81;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;3;0;0;0;0;0;0;0;0;179;54;0;0;0;0;0;4;29
"Callicarpa arborea";34;0;0;123;0;0;0;0;0;47;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;163;0;0;111;0
"Carallia brachiata";0;0;0;12;0;0;0;372;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0
"Chisocheton cumingianus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"Cinnamomum bejolghota";18;0;0;236;0;0;0;0;0;90;0;0;0;83;0;0;0;0;4;6;0;0;0;0;0;41;0;0;27;41;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;55;0
"Dendrocnide sinuata";65;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;27;0;0;0;0;0;0;0;0;0;0;0;14;0;17;0
"Epicharis hierniana";0;0;0;0;0;0;0;0;0;7;0;0;0;15;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
"Dysoxylum gotadhora";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;77;0;5;0;0;0;0;0;0;0;0;0;8;0;0
"Ehretia wallichiana";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0
"Elaeocarpus sphaericus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sapium insigne";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;98;795
"Ficus altissima";55;0;0;16;0;1;1;52;1;18;0;0;0;27;0;0;0;0;5;0;0;0;0;0;11;4;0;0;0;6;1;9;0;1;6;29;0;0;0;0;0;13;0;0;4;0;9
"Ficus benjamina";159;26;0;9;0;1;0;0;0;19;0;11;0;2;0;0;0;0;0;0;0;10;0;0;0;2;0;0;0;53;0;0;0;0;0;40;0;0;1;0;0;0;0;0;0;1;18
"Ficus drupacea";183;79;0;8;0;1;1;229;0;42;0;4;0;21;0;0;0;0;5;0;0;0;0;0;9;7;0;0;1;65;32;12;1;0;5;646;0;1;5;0;0;2;0;0;17;12;6
"Ficus geniculata";71;36;0;133;0;1;1;334;0;70;0;0;0;12;0;153;0;69;4;0;0;0;0;0;9;3;2;0;0;43;19;12;0;2;3;185;0;0;425;0;0;0;0;0;4;10;4
