"";"Chloris chloris";"Coccothraustes coccothraustes";"Columba palumbus";"Corvus corone";"Erithacus rubecula";"Ficedula hypoleuca";"Fringilla coelebs";"Garrulus glandarius";"Cyanistes caeruleus";"Parus major";"Poecile montanus";"Poecile palustris";"Passer domesticus";"Passer montanus";"Phoenicurus ochruros";"Phoenicurus phoenicurus";"Phylloscopus collybita";"Pica pica";"Pyrrhula pyrrhula";"Sitta europaea";"Sturnus vulgaris";"Sylvia atricapilla";"Sylvia borin";"Sylvia communis";"Sylvia curruca";"Turdus iliacus";"Turdus merula";"Turdus philomelos";"Turdus pilaris";"Turdus viscivorus"
"Amelanchier lamarckii";2;16;4;0;0;0;4;0;5;1;0;0;210;8;0;0;0;0;0;0;0;24;15;0;1;0;111;0;46;0
"Cornus sanguinea";0;1;0;0;30;4;0;0;11;4;0;8;0;0;2;0;0;0;0;0;0;22;0;0;0;0;1;3;15;0
"Crataegus laevigata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"Crataegus monogyna";0;5;0;0;1;0;1;0;10;8;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;626;453;15;270;0
"Euonymus europaeus";0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Fragaria vesca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
"Frangula alnus";0;0;0;0;26;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;44;10;0;0;0;5;1;0;0
"Hedera helix";0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;0;0;62;26;0;0
"Ligustrum vulgare";0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;15;0;2;0
"Lonicera xylosteum";0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;54;4;0;0;0;2;2;0;0
"Malus domestica";0;0;0;0;9;0;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;104;0
"Prunus avium";0;13;0;24;0;0;0;30;8;2;0;0;0;0;0;0;0;5;0;0;108;8;16;0;0;0;74;5;2;163
"Padus avium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;32;0;0;0;28;4;0;0
"Prunus serotina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;38;10;0;0
"Prunus domestica";0;1;0;0;1;0;0;3;22;7;0;3;12;0;0;0;1;0;0;1;0;0;0;0;0;0;73;0;0;0
"Rhamnus cathartica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;10;0;0;0;16;67;29;0;0
"Ribes rubrum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;6;0;1;0;7;0;0;0
"Rosa canina";76;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;7;23;0
"Rubus fruticosus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0
"Rubus idaeus";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;26;3;0;0;1;0;0;0
"Sambucus nigra";0;0;0;0;46;2;0;8;77;5;0;10;0;8;1;1;0;0;15;0;43;464;83;7;2;33;136;167;0;0
"Sambucus racemosa";0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;12;0;0;0;2;4;0;0
"Sorbus aria";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0
"Sorbus aucuparia";3;7;10;14;10;0;0;3;6;2;0;10;0;0;4;0;0;4;21;0;36;48;15;1;0;0;259;75;295;315
"Sorbus torminalis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;0;0
"Viburnum lantana";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;5;0;0;0
"Viburnum opulus";0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;13;0;0;0;0;10;4;49;0
"Viscum album";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;1;0;1;0;45
