"";"Arizelocichla milanjensis";"Arizelocichla nigriceps";"Columba arquatrix";"Nigrita canicapillus";"Onychognathus walleri";"Phyllastrephus cabanisi";"Phyllastrephus strepitans";"Phylloscopus umbrovirens";"Poeoptera kenricki";"Pholia sharpii";"Pogonocichla stellata";"Sylvia atricapilla";"Tauraco hartlaubi";"Turdus olivaceus";"Zosterops poliogastrus"
"Begonia meyeri-johannis";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Keetia gueinzii";0;1;0;0;0;0;5;0;0;0;0;1;0;0;0
"Macaranga capensis";7;5;6;1;2;1;0;0;0;3;0;0;1;2;0
"Maytenus acuminata";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Psychotria fractinervata";0;6;0;0;0;1;0;0;0;0;4;2;0;2;0
"Rubus steudneri";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rytigynia hirsutiflora";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
"Astropanax myrianthus";5;7;2;0;8;1;2;1;14;11;0;5;4;3;0
"Smilax anceps";2;5;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trema orientalis";1;3;1;0;0;0;0;0;3;0;0;0;0;0;9
