"";"Arizelocichla milanjensis";"Arizelocichla nigriceps";"Bycanistes brevis";"Linurgus olivaceus";"Nigrita canicapillus";"Onychognathus walleri";"Phyllastrephus cabanisi";"Poeoptera kenricki";"Pholia sharpii";"Pogoniulus leucomystax";"Pycnonotus barbatus";"Sylvia atricapilla";"Tauraco hartlaubi";"Turdus olivaceus";"Zosterops poliogastrus"
"Dracaena afromontana";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus sur";0;0;2;0;0;6;0;0;0;0;0;4;10;0;0
"Aulacocalyx diervilleoides";1;6;0;0;0;0;2;0;0;0;0;0;0;0;0
"Keetia gueinzii";0;4;0;0;0;0;1;0;0;0;0;1;0;0;0
"Macaranga capensis";0;2;0;1;0;3;8;7;6;0;0;0;0;0;0
"Maesa lanceolata";0;0;0;2;2;0;0;6;0;2;0;0;0;1;1
"Pauridiantha paucinervis";0;2;0;0;0;0;0;0;0;0;0;2;0;2;0
"Psychotria fractinervata";0;3;0;0;0;0;2;0;0;0;0;2;0;1;0
"Tiliacora funifera";0;1;0;2;6;0;0;0;0;4;0;10;0;0;6
"Trema orientalis";0;3;0;2;0;9;3;0;4;0;1;0;0;0;0
