;Aburria aburri;Aulacorhynchus prasinus;Aulacorhynchus sulcatus;Spinus spinescens;Chlorochrysa calliparaea;Chlorophonia cyanea;Chlorospingus flavopectus;Coereba flaveola;Cyanerpes caeruleus;Cyanocorax yncas;Dacnis cayana;Setophaga fusca;Pseudopipra pipra;Elaenia flavogaster;Eubucco bourcierii;Euphonia xanthogaster;Hemithraupis guira;Masius chrysopterus;Mionectes olivaceus;Myadestes ralloides;Myiozetetes similis;Ortalis ruficauda;Patagioenas subvinacea;Penelope argyrotis;Pharomachrus antisianus;Pheucticus ludovicianus;Pipraeidea melanonota;Pipreola aureopectus;Pipreola riefferii;Piranga leucoptera;Piranga olivacea;Psarocolius angustifrons;Psarocolius decumanus;Pyrrhura hoematotis;Ramphocelus carbo;Saltator maximus;Tachyphonus rufus;Tangara arthus;Tangara cyanicollis;Tangara cyanoptera;Tangara guttata;Tangara gyrola;Tangara heinei;Tangara nigroviridis;Tangara xanthocephala;Thlypopsis fulviceps;Tangara episcopus;Tangara palmarum;Trogon collaris;Turdus flavipes;Turdus olivater;Zimmerius chrysops
Aegiphila floribunda;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchornea triplinervia;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;3;4;3;0;0;0;0;0;1;1;0;2;0;0
Antidaphne viscoidea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ardisia_GBIFresolved_net_184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Blakea schlimii;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Casearia mariquitensis;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cecropia angustifolia;0;0;7;0;0;0;1;1;0;0;0;0;2;0;4;4;5;2;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;1;1;5;1;25;8;4;17;14;4;1;1;0;6;2;0;2;4;0
Cecropia telealba;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Cissampelos pareira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Clusia minor;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
