"";"Regulus regulus";"Fringilla coelebs";"Sylvia atricapilla";"Turdus merula";"Pyrrhula murina";"Erithacus rubecula";"Serinus canaria"
"Aphanes australis";0;1;0;0;0;0;0
"Bellis perennis";0;0;0;2;0;0;0
"Calluna vulgaris";0;0;1;1;0;0;0
"Carex viridula";0;1;0;0;0;0;0
"Carex vulcani";0;1;0;0;0;0;0
"Centaurium erythraea";0;0;0;1;0;0;0
"Cerastium_net_080";0;5;0;1;0;0;1
"Clethra arborea";0;1;0;1;0;0;0
"Cryptomeria japonica";0;0;0;1;0;0;0
"Potentilla indica";0;0;0;5;0;0;0
"Epilobium parviflorum";0;1;0;0;0;0;0
"Fragaria vesca";0;0;0;1;0;0;0
"Hedera azorica";0;0;1;1;0;0;0
"Hypericum himalaicum";0;0;0;0;1;0;0
"Ilex azorica";0;0;0;16;0;0;0
"Juncus effusus";0;1;0;0;0;0;0
"Juniperus brevifolia";0;0;1;19;0;0;0
"Laurus azorica";0;0;0;1;0;0;0
"Leycesteria formosa";1;5;11;8;0;2;0
"Lotus pedunculatus";0;2;0;0;0;0;0
"Myrica faya";0;0;1;1;0;0;0
"Pittosporum undulatum";0;1;1;0;0;0;0
"Potentilla erecta";0;0;1;1;0;0;0
"Rubus_net_008";0;0;1;1;0;0;0
"Rubus ulmifolius";0;0;1;1;0;0;0
"Selaginella kraussiana";0;2;0;0;0;0;0
"Solanum americanum";0;1;0;0;0;0;0
"Vaccinium cylindraceum";0;0;3;10;0;0;0
