;Urocolius indicus;Colius colius;Turdus olivaceus;Pycnonotus nigricans;Creatophora cinerea;Zosterops pallidus
Celtis africana;0;0;95;2;413;15
Ligustrum vulgare;23;36;32;66;222;70
Bequaertiodendron magalismontanum;18;19;24;11;7;109
Crataegus_GBIFresolved_net_092;28;5;23;3;3;51
Olea europaea;15;10;8;2;15;8
Ficus_GBIFresolved_net_092;0;0;2;6;0;5
Ziziphus mucronata;5;5;0;0;0;0
Rhus lancea;5;0;0;0;0;0
Diospyros_GBIFresolved_net_092;0;0;0;0;0;4
Arbutus_GBIFresolved_net_092;0;0;0;2;0;2
Hedera_GBIFresolved_net_092;0;0;3;0;0;0
Punica granatum;0;0;0;1;0;2
Phoenix canariensis;0;2;1;0;0;0
