"";"Erithacus rubecula";"Sylvia atricapilla";"Sylvia borin";"Sylvia communis";"Sylvia melanocephala";"Turdus merula"
"Arbutus unedo";1;1;0;0;0;0
"Asparagus aphyllus";0;3;0;0;3;0
"Daphne gnidium";0;4;0;1;4;0
"Lonicera implexa";0;1;1;0;1;0
"Myrtus communis";5;25;0;0;6;8
"Olea europaea";1;27;1;0;1;1
"Osyris quadripartita";1;115;12;5;3;33
"Olea angustifolia";5;43;20;28;14;37
"Pistacia lentiscus";118;518;13;30;240;23
"Rhamnus alaternus";0;0;3;0;24;0
"Rhamnus lycioides";1;9;1;17;74;0
"Rubia peregrina";0;22;0;0;4;0
"Smilax aspera";2;96;14;2;6;2
"Dioscorea communis";0;1;0;1;0;0
