"";"Turdus merula";"Petroica australis";"Turdus philomelos";"Sturnus vulgaris";"Prosthemadera novaeseelandiae";"Zosterops lateralis"
"Coprosma grandifolia";0;1;1;0;2;0
"Coprosma repens";0;0;0;0;2;4
"Coprosma robusta";1;0;0;0;1;4
"Crataegus monogyna";1;0;0;0;1;0
"Laurus nobilis";0;0;0;1;1;0
"Macropiper excelsum";4;0;0;0;2;6
"Melicytus ramiflorus";0;0;0;0;1;9
"Muehlenbeckia australis";0;0;0;0;0;3
"Myoporum laetum";5;0;0;3;16;6
"Neopanax arboreus";0;0;0;0;0;1
"Rubus fruticosus";1;0;0;0;0;0
"Solanum americanum";0;0;0;0;0;3
