"";"Catharus swainsoni";"Chlorospingus ophthalmicus";"Tangara sayaca";"Turdus rufiventris";"Thlypopsis sordida";"Euphonia chlorotica";"Vireo olivaceus";"Elaenia obscura";"Euphonia cyanocephala";"Saltator aurantiirostris";"Turdus nigriceps";"Elaenia strepera";"Elaenia parvirostris";"Microspingus erythrophrys";"Myiodynastes maculatus";"Turdus albicollis";"Arremon torquatus";"Pipraeidea melanonota";"Veniliornis frontalis";"Setophaga pitiayumi"
"Ocotea macropoda";66;13;21;21;5;0;8;7;0;2;2;2;0;1;0;0;0;0;0;0
"Phoradendron ensifolium";0;11;8;0;3;13;0;0;7;0;0;2;2;0;0;0;0;0;0;1
"Miconia molybdea";10;19;3;5;0;0;0;0;0;0;2;0;0;0;0;1;2;0;1;0
"Solanum riparium";0;2;25;0;1;0;2;0;0;3;0;0;0;2;1;1;0;0;0;0
"Psychotria carthagenensis";4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rhipsalis floccosa";0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piper aduncum";0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pfeiffera monacantha";1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vassobia breviflora";1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ocotea porphyria";3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Blepharocalyx salicifolius";0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cupania vernalis";0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Prockia crucis";1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Clibadium peruvianum";1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrcianthes pseudomato";0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Urera baccifera";0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trichilia claussenii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Cissus striata";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus imperialis";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Zanthoxylum fagara";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
