"";"Pycnonotus barbatus";"Sylvia atricapilla";"Cinnyricinclus leucogaster";"Phylloscopus trochilus";"Turdus pelios";"Eurillas latirostris";"Zosterops senegalensis";"Bycanistes subcylindricus";"Buccanodon duchaillui";"Pogoniulus bilineatus";"Chlorocichla laetissima";"Gymnobucco bonapartei";"Andropadus masukuensis";"Ploceus bicolor";"Phyllastrephus hypochloris";"Eurillas curvirostris";"Melaniparus funereus";"Phylloscopus budongoensis";"Phyllastrephus cabanisi";"Trachyphonus purpuratus";"Stelgidillas gracilirostris";"Crithagra citrinelloides";"Apalis rufogularis";"Baeopogon indicator";"Hippolais pallida";"Andropadus virens";"Crithagra mozambica";"Colius striatus";"Musophaga rossae";"Nigrita canicapillus";"Turtur tympanistria";"Tricholaema hirsuta";"Bleda syndactylus";"Oriolus brachyrynchus";"Phylloscopus sibilatrix";"Treron calvus";"Turdus olivaceus";"Cuculus clamosus";"Ploceus nigerrimus";"Sylvia borin";"Chamaetylas poliocephala";"Eremomela turneri";"Eurillas ansorgei";"Estrilda nonnula";"Nigrita fusconotus";"Elminia longicauda";"Platysteira castanea";"Platysteira cyanea";"Ploceus insignis";"Ploceus melanocephalus";"Ploceus ocularis";"Turdoides sharpei";"Anthoscopus caroli";"Bathmocercus rufus";"Centropus monachus";"Chalcomitra senegalensis";"Aplopelia larvata";"Sheppardia polioptera";"Laniarius luehderi";"Pogonornis bidentatus";"Melaniparus albiventris";"Phoenicurus phoenicurus";"Ploceus baglafecht";"Ploceus nigricollis";"Schistolais leucopogon";"Crithagra dorsostriata";"Spermophaga ruficapilla";"Terpsiphone viridis";"Lophoceros alboterminatus";"Campephaga flava";"Chalcomitra amethystina";"Atimastillas flavicollis";"Cossypha heuglini";"Cossypha niveicapilla";"Cyanomitra olivacea";"Cyanomitra verticalis";"Dicrurus adsimilis";"Hylia prasina";"Malimbus rubricollis";"Oriolus auratus";"Prinia bairdii";"Prodotiscus insignis";"Sylvia communis"
"Ficus lutea";128;64;1;30;94;21;69;24;26;9;15;4;28;3;10;6;3;3;0;6;3;14;3;1;1;7;0;0;2;0;1;2;1;1;0;2;1;0;0;1;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0
"Ficus thonningii";110;23;0;39;11;33;1;61;59;3;12;19;1;1;4;5;9;1;0;5;6;0;2;4;5;0;0;0;0;0;0;3;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Prunus africana";70;3;190;82;15;0;0;0;0;1;1;0;0;0;0;3;0;4;0;0;3;0;7;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bridelia micrantha";54;37;3;0;25;21;22;18;13;18;22;9;2;2;8;1;0;0;3;3;3;0;0;7;1;0;2;0;2;0;3;1;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus sur";30;8;0;3;1;9;6;2;10;6;2;1;1;5;0;7;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Manilkara butugi";27;9;0;4;0;6;3;12;0;0;4;1;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Antiaris toxicaria";62;8;0;12;0;1;2;2;0;0;0;0;3;4;0;2;11;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Blighia unijugata";4;7;0;0;0;15;5;12;13;5;6;11;2;11;0;0;0;0;0;5;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Morus mesozygia";5;2;0;0;0;7;0;2;0;0;2;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trilepisium madagascariense";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
