"";"Anthornis melanura";"Turdus merula";"Hemiphaga novaeseelandiae";"Turdus philomelos";"Sturnus vulgaris";"Prosthemadera novaeseelandiae";"Zosterops lateralis"
"Coprosma grandifolia";0;1;0;0;0;0;4
"Coprosma robusta";4;2;0;1;0;0;7
"Crataegus monogyna";0;0;0;0;0;0;1
"Fuchsia excorticata";0;0;1;0;0;0;0
"Hedycarya arborea";0;0;1;0;0;0;0
"Malus domestica";4;0;0;0;0;0;0
"Macropiper excelsum";0;0;1;0;0;0;1
"Melicytus ramiflorus";0;1;1;0;1;0;2
"Rapanea australis";0;0;0;0;0;0;1
"Myoporum laetum";0;1;0;1;0;0;0
"Pittosporum eugenioides";0;0;0;0;0;0;7
"Pittosporum tenuifolium";0;0;0;0;0;0;1
"Podocarpus totara";88;7;5;3;3;2;27
"Pectinopitys ferruginea";0;0;1;0;0;0;0
"Prumnopitys taxifolia";4;7;11;3;3;2;0
"Neopanax arboreus";2;13;3;8;21;1;50
