"";"Andropadus importunus";"Chlorocichla flaviventris";"Corythaixoides concolor";"Numida meleagris";"Oriolus larvatus";"Pycnonotus tricolor";"Lophoceros nasutus"
"Berchemia discolor";0;0;1;0;0;0;0
"Bridelia micrantha";0;0;0;0;0;1;0
"Capsicum annuum";0;0;0;0;0;1;0
"Centaurea praecox";0;0;0;3;0;0;0
"Cissus rotundifolia";0;0;0;0;0;4;0
"Deinbollia xanthocarpa";0;0;0;0;0;1;0
"Diospyros mespiliformis";0;1;0;0;0;0;0
"Eriochloa_GBIFresolved_net_087";0;0;0;2;0;0;0
"Grewia microcarpa";1;1;0;0;0;0;0
"Lantana camara";0;2;0;0;0;0;0
"Phyllanthus reticulatus";0;0;0;0;0;2;0
"Rhoicissus revoilii";0;0;0;0;0;2;0
"Solanum americanum";0;0;0;0;0;1;0
"Sterculia africana";0;0;0;0;0;1;0
"Trichilia appendiculata";0;0;0;0;1;2;1
