"";"Crotophaga ani";"Setophaga petechia";"Geospiza fortis";"Geospiza fuliginosa";"Geospiza magnirostris";"Geospiza scandens";"Mimus parvulus";"Myiarchus magnirostris";"Platyspiza crassirostris"
"Bursera graveolens";0;0;0;0;0;0;4;1;0
"Chiococca alba";0;0;0;0;0;0;2;0;0
"Cordia leucophlyctis";0;0;0;0;0;0;1;0;0
"Cordia lutea";0;0;0;0;0;0;3;0;0
"Desmodium procumbens";0;0;1;1;1;0;0;0;0
"Eragrostis_net_058";0;0;0;8;1;0;0;0;1
"Eriochloa pacifica";0;0;0;1;0;0;0;0;0
"Lantana peduncularis";0;0;0;0;0;0;1;0;0
"Mentzelia aspera";0;0;0;3;1;0;0;0;0
"Miconia robinsoniana";0;0;1;1;0;0;0;0;2
"Momordica charantia";0;0;0;0;0;0;1;0;0
"Paspalum conjugatum";0;0;0;1;0;0;0;0;0
"Polygonum sp";0;0;0;11;1;1;0;0;0
"Portulaca oleracea";0;0;0;2;0;0;0;0;0
"Scutia spicata";0;0;0;0;0;0;1;3;0
"Sida spinosa";0;0;0;1;0;0;0;0;0
"Talinum paniculatum";0;0;0;1;0;0;0;0;0
"Tournefortia psilostachya";1;10;1;0;0;0;30;10;1
"Tournefortia pubescens";0;0;0;0;0;0;16;0;0
"Tournefortia rufo-sericea";0;0;0;0;0;0;1;0;0
"Vallesia glabra";0;0;0;0;0;0;0;1;0
"Zanthoxylum fagara";0;0;0;0;0;0;2;1;0
