"";"Anisognathus lacrymosus";"Anisognathus somptuosus";"Atlapetes latinuchus";"Aulacorhynchus prasinus";"Basileuterus tristriatus";"Catharus ustulatus";"Chamaepetes goudotii";"Chlorospingus ophthalmicus";"Creurgops verticalis";"Cyanocorax yncas";"Diglossa albilatera";"Diglossa cyanea";"Elaenia albiceps";"Sphenopsis frontalis";"Iridosornis analis";"Lepidocolaptes lacrymiger";"Myadestes ralloides";"Myioborus miniatus";"Patagioenas fasciata";"Penelope barbata";"Pipraeidea melanonota";"Pipreola riefferii";"Rupicola peruvianus";"Tachyphonus rufus";"Tangara labradorides";"Tangara nigroviridis";"Tangara parzudakii";"Tangara vassorii";"Tangara viridicollis";"Tangara xanthocephala";"Sporathraupis cyanocephala";"Tangara episcopus";"Turdus fulviventris";"Turdus fuscater";"Vireo leucophrys";"Pharomachrus auriceps";"Trogon personatus"
"Cecropia andina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cecropia angustifolia";0;12;0;5;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;3;10;21;0;0;21;12;1;0;2;0;2;1
"Cedrela nebulosa";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Clethra revoluta";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Fuchsia lehmannii";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Faramea sp";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Escallonia paniculata";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Graffenrieda emarginata";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Isertia laevis";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;13;8;0;0;0;0;0;3;0;2;0;2;0;0;0;0;0;0;0
"Miconia discolor";0;4;0;0;0;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;1;4;34;0;51;0;2;0;0;0;0;0;0;0
"Miconia theaezans";1;31;0;0;0;0;0;1;17;34;2;4;6;1;7;0;6;1;0;0;0;1;0;0;40;48;17;30;1;32;26;0;1;0;1;0;0
"Palicourea crocea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Persea weberbaueri";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Siparuna aspera";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"Viburnum obtectum";0;11;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;3;6;0;0;1;0;0;0
