"";"Apaloderma vittatum";"Arizelocichla milanjensis";"Arizelocichla nigriceps";"Bradypterus cinnamomeus";"Bradypterus lopezi";"Bycanistes brevis";"Columba arquatrix";"Columba delegorguei";"Linurgus olivaceus";"Onychognathus walleri";"Phyllastrephus cabanisi";"Phyllastrephus strepitans";"Phylloscopus umbrovirens";"Ploceus ocularis";"Poeoptera femoralis";"Poeoptera kenricki";"Pholia sharpii";"Pogoniulus leucomystax";"Illadopsis abyssinica";"Tauraco hartlaubi";"Turdus olivaceus";"Zosterops poliogastrus"
"Allophylus ferrugineus";0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Begonia meyeri-johannis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"Macaranga capensis";0;0;7;0;0;0;1;0;0;0;7;9;0;0;3;3;0;0;0;50;1;1
"Maytenus acuminata";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ocotea usambarensis";0;0;1;0;0;0;2;4;0;0;5;3;0;0;0;0;0;0;0;1;0;0
"Psychotria cyathicalyx";0;1;5;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
"Psychotria fractinervata";0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Rubus steudneri";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Astropanax myrianthus";0;1;1;0;1;0;0;0;3;0;2;1;0;1;2;9;0;1;0;5;4;0
"Astropanax volkensii";2;0;14;0;0;0;2;0;4;18;10;8;1;0;6;9;13;0;1;48;1;33
"Strombosia scheffleri";0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0
