"";"Pycnonotus cafer";"Ptilinopus purpuratus";"Zosterops lateralis"
"Miconia calvescens";19;88;85
"Rubus rosifolius";7;0;2
"Cecropia peltata";4;0;0
"Schinus terebinthifolius";0;0;0
"Cananga odorata";0;6;0
"Psidium guajava";0;1;0
"Passiflora suberosa";1;1;0
"Lantana camara";21;4;8
"Pseudelephantopus spicatus";0;1;0
"Oxalis corniculata";0;0;0
"Tarenna sambucina";51;113;0
"Cyclophyllum barbatum";1;31;0
"Ixora foetida";0;16;0
"Rhus taitensis";7;1;5
"Freycinetia impavida";3;37;1
"Meryta lanceolata";0;6;0
"Ficus prolixa";0;5;0
"Ixora moorensis";0;6;0
"Xylosma suaveolens";0;3;0
"Fagraea berteroana";2;1;4
"Coprosma taitensis";0;0;0
"Premna corymbosa";0;2;0
"Melastoma malabathricum";0;1;0
"Pittosporum taitense";0;0;1
"Macaranga attenuata";0;1;0
