"";"Tangara sayaca";"Turdus rufiventris";"Chlorospingus ophthalmicus";"Euphonia cyanocephala";"Turdus nigriceps";"Euphonia chlorotica";"Atlapetes citrinellus";"Setophaga pitiayumi";"Catharus swainsoni";"Elaenia albiceps";"Arremon flavirostris";"Cyanocorax chrysops";"Penelope obscura";"Vireo olivaceus";"Pheucticus aureoventris";"Spinus magellanicus";"Elaenia obscura";"Microspingus erythrophrys";"Pipraeidea melanonota";"Piranga flava";"Phylloscartes ventralis";"Elaenia parvirostris";"Phyllomyias sclateri";"Pachyramphus validus";"Syndactyla rufosuperciliata";"Thlypopsis sordida";"Elaenia spectabilis"
"Psychotria carthagenensis";74;326;56;2;22;0;20;1;7;2;9;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0
"Piper tucumanum";120;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phoradendron ensifolium";151;25;43;62;2;34;0;21;3;0;0;0;0;0;0;2;0;0;1;2;0;2;0;0;0;0;0
"Solanum riparium";42;43;6;0;2;1;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Myrsine laetevirens";30;14;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Celtis ehrenbergiana";7;27;8;0;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Rhipsalis floccosa";19;0;13;5;0;0;1;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0
"Blepharocalyx salicifolius";17;7;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Eugenia uniflora";4;26;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aechmea distichantha";28;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ocotea porphyria";9;12;2;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cupania vernalis";5;6;0;0;3;0;0;0;1;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chamissoa altissima";5;0;6;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;2;0;1;0;1;0;0
"Urera baccifera";6;4;7;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phoradendron tucumanense";8;2;3;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Urera caracasana";16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cissus striata";0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Duranta serratifolia";0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Morus alba";0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Zanthoxylum coco";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cestrum strigillatum";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Allophylus edulis";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hoffmannia australis";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piper gaudichaudianum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Lepismium lumbricoides";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrcianthes pungens";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cestrum parqui";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Smilax campestris";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
