"";"Turdus rufiventris";"Tangara sayaca";"Turdus nigriceps";"Catharus swainsoni";"Chlorospingus ophthalmicus";"Euphonia chlorotica";"Setophaga pitiayumi";"Vireo olivaceus";"Euphonia cyanocephala";"Pipraeidea melanonota";"Cyanocorax chrysops";"Elaenia parvirostris";"Arremon flavirostris";"Elaenia albiceps";"Syndactyla rufosuperciliata";"Veniliornis frontalis";"Piranga flava";"Thlypopsis sordida"
"Allophylus edulis";75;16;19;23;2;0;0;1;0;1;0;0;0;1;0;0;0;0
"Phoradendron ensifolium";17;45;4;1;11;27;11;2;2;1;2;2;0;0;0;0;0;1
"Rhipsalis floccosa";2;15;0;2;22;6;5;0;0;0;1;0;1;0;0;0;1;0
"Ocotea porphyria";18;5;15;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"Aechmea distichantha";6;18;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
"Xylosma pubescens";1;15;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"Psychotria carthagenensis";9;0;1;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Cissus striata";12;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piper tucumanum";0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vassobia breviflora";6;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aralia soratensis";3;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cupania vernalis";2;0;1;1;0;0;0;3;0;0;0;0;1;0;2;0;0;0
"Passiflora urnifolia";1;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Solanum riparium";0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrsine coriacea";4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phoradendron tucumanense";0;3;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
"Morus alba";4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrcianthes pungens";2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"Lepismium lumbricoides";0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Cestrum strigillatum";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Chamissoa altissima";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cestrum parqui";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Solanum pseudocapsicum";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piper gaudichaudianum";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lepismium lorentzianum";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
