"";"Turdus rufiventris";"Tangara sayaca";"Chlorospingus ophthalmicus";"Cyanocorax chrysops";"Euphonia chlorotica";"Arremon flavirostris";"Atlapetes citrinellus";"Molothrus bonariensis";"Elaenia albiceps";"Zonotrichia capensis";"Turdus nigriceps";"Euphonia cyanocephala";"Icterus pyrrhopterus";"Piranga flava";"Setophaga pitiayumi";"Elaenia obscura"
"Blepharocalyx salicifolius";58;53;10;3;4;0;0;5;0;2;0;0;0;2;0;1
"Solanum riparium";14;17;3;14;0;1;0;0;0;0;0;0;0;0;1;0
"Psychotria carthagenensis";31;0;2;0;0;2;0;0;4;0;1;0;0;0;0;0
"Rhipsalis floccosa";0;10;8;0;4;0;0;0;0;1;0;0;2;0;0;0
"Morus alba";15;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0
"Phoradendron ensifolium";0;7;2;0;5;3;3;0;0;0;0;2;0;0;0;0
"Rubus imperialis";6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Chamissoa altissima";0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0
"Piper tucumanum";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vassobia breviflora";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"Eugenia uniflora";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piper gaudichaudianum";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cupania vernalis";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Solanum americanum";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lepismium lumbricoides";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
