"";"Tangara sayaca";"Elaenia strepera";"Turdus nigriceps";"Chlorospingus ophthalmicus";"Catharus swainsoni";"Pipraeidea melanonota";"Thlypopsis sordida";"Microspingus erythrophrys";"Euphonia cyanocephala";"Turdus rufiventris";"Arremon torquatus";"Vireo olivaceus";"Atlapetes citrinellus";"Penelope obscura";"Elaenia obscura"
"Allophylus edulis";27;32;28;12;10;2;2;1;0;1;1;1;0;1;0
"Blepharocalyx salicifolius";52;2;15;8;12;5;6;1;0;2;0;1;0;1;1
"Vassobia breviflora";8;22;5;4;1;9;9;5;0;0;3;1;0;0;0
"Sambucus nigra";3;19;8;1;4;5;1;0;3;0;0;0;1;0;0
"Cissus striata";7;8;8;4;12;2;4;0;0;0;0;0;0;0;0
"Scutia buxifolia";3;0;3;16;0;0;1;0;0;1;0;0;1;0;0
"Prunus tucumanensis";0;3;7;0;2;4;0;0;2;0;0;0;0;0;0
"Eugenia uniflora";4;2;1;0;0;0;0;0;0;0;0;0;0;0;0
"Myrsine coriacea";2;0;0;0;2;1;0;0;0;0;0;0;0;0;0
"Potentilla indica";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus imperialis";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
