"";"Anthornis melanura";"Zosterops lateralis";"Prosthemadera novaeseelandiae";"Turdus merula";"Turdus philomelos"
"Coprosma grandifolia";1;2;0;1;0
"Coprosma robusta";5;4;0;3;0
"Coprosma rotundifolia";1;1;0;0;0
"Melicytus ramiflorus";0;6;0;2;0
"Muehlenbeckia australis";3;11;0;3;0
"Podocarpus totara";16;27;3;4;1
"Neopanax arboreus";3;31;0;3;0
"Schefflera digitata";0;4;0;2;1
"Berberis glaucocarpa";0;2;0;5;0
"Crataegus monogyna";0;2;0;2;0
"Leycesteria formosa";1;16;1;8;0
"Rubus fruticosus";0;2;0;0;0
