"","TI_HERB_240","TI_HERB_241","TI_HERB_242","TI_HERB_243","TI_HERB_244","TI_HERB_245","TI_HERB_246","TI_HERB_247","TI_HERB_248","TI_HERB_249","TI_HERB_250","TI_HERB_251","TI_HERB_252","TI_HERB_253","TI_HERB_254","TI_HERB_255","TI_HERB_256","TI_HERB_257","TI_HERB_258","TI_HERB_259","TI_HERB_260","TI_HERB_261"
"TI_PLANT_276",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_277",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_278",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_279",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_280",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_72",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_281",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_282",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_283",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_284",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_285",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_286",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_287",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_288",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_289",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_290",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_291",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_292",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_293",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_294",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_295",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"TI_PLANT_296",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_298",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_299",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_300",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_301",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"TI_PLANT_302",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_303",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"TI_PLANT_304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
