"";"mangal_node_4955";"mangal_node_0090";"mangal_node_4956";"mangal_node_4957";"mangal_node_4203";"mangal_node_4947";"mangal_node_0800";"mangal_node_4948";"mangal_node_4828";"mangal_node_2202";"mangal_node_4949";"mangal_node_3899";"mangal_node_4950";"mangal_node_2083";"mangal_node_4952";"mangal_node_4953";"mangal_node_4049";"mangal_node_4951";"mangal_node_4954";"mangal_node_4958";"mangal_node_0448";"mangal_node_0443";"mangal_node_4641"
"mangal_node_4955";0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0
"mangal_node_0090";1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0
"mangal_node_4956";0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0;1
"mangal_node_4957";0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0
"mangal_node_4203";0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0
"mangal_node_4947";1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
"mangal_node_0800";1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1
"mangal_node_4948";0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"mangal_node_4828";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
"mangal_node_2202";0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;0
"mangal_node_4949";0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1
"mangal_node_3899";1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0
"mangal_node_4950";0;0;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0
"mangal_node_2083";1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0
"mangal_node_4952";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_4953";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"mangal_node_4049";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
"mangal_node_4951";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_4954";0;1;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;0;1
"mangal_node_4958";1;1;0;1;0;0;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;1
"mangal_node_0448";0;1;1;1;1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0
"mangal_node_0443";0;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0
"mangal_node_4641";1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0
