"";"mangal_node_0514";"mangal_node_0427";"mangal_node_0515";"mangal_node_0496";"mangal_node_0497";"mangal_node_0511";"mangal_node_0512";"mangal_node_0516";"mangal_node_0517";"mangal_node_0503";"mangal_node_0504";"mangal_node_0518";"mangal_node_0519";"mangal_node_0520";"mangal_node_0513";"mangal_node_0425";"mangal_node_0502";"mangal_node_0521";"mangal_node_0522";"mangal_node_0523";"mangal_node_0524";"mangal_node_0090";"mangal_node_0458";"mangal_node_0475";"mangal_node_0510"
"mangal_node_0514";0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0
"mangal_node_0427";0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;1
"mangal_node_0515";0;1;1;1;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0
"mangal_node_0496";0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;1;0;1
"mangal_node_0497";1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;1;0;1;0
"mangal_node_0511";0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1
"mangal_node_0512";0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1
"mangal_node_0516";1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0
"mangal_node_0517";0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_0503";1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;1;1
"mangal_node_0504";1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0
"mangal_node_0518";0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0
"mangal_node_0519";1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1
"mangal_node_0520";0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1
"mangal_node_0513";0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1
"mangal_node_0425";1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;0;1;0
"mangal_node_0502";0;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1
"mangal_node_0521";0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
"mangal_node_0522";0;1;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1
"mangal_node_0523";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"mangal_node_0524";0;1;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0
"mangal_node_0090";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"mangal_node_0458";0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0
"mangal_node_0475";0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0
"mangal_node_0510";0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;1;0
