"";"gateway_node_1972";"gateway_node_5232";"gateway_node_4001";"gateway_node_2229";"gateway_node_3574";"gateway_node_2169";"gateway_node_3488";"gateway_node_610";"gateway_node_3435";"gateway_node_805";"gateway_node_2423";"gateway_node_4044";"gateway_node_2697";"gateway_node_3264";"gateway_node_2778";"gateway_node_2775";"gateway_node_3378";"gateway_node_3741";"gateway_node_2031";"gateway_node_3850";"gateway_node_3890";"gateway_node_1935";"gateway_node_1936";"gateway_node_1155";"gateway_node_2768";"gateway_node_2789";"gateway_node_3653"
"gateway_node_1972";1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"gateway_node_5232";1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_4001";1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"gateway_node_2229";1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1
"gateway_node_3574";0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"gateway_node_2169";0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"gateway_node_3488";1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
"gateway_node_610";0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"gateway_node_3435";1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_805";1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1
"gateway_node_2423";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"gateway_node_4044";1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1
"gateway_node_2697";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1
"gateway_node_3264";1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1
"gateway_node_2778";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"gateway_node_2775";0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0
"gateway_node_3378";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"gateway_node_3741";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1
"gateway_node_2031";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"gateway_node_3850";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0
"gateway_node_3890";1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1935";0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1
"gateway_node_1936";0;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0
"gateway_node_1155";1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
"gateway_node_2768";1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
"gateway_node_2789";1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
"gateway_node_3653";1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1
