"";"gateway_node_1972";"gateway_node_5232";"gateway_node_4001";"gateway_node_4620";"gateway_node_2229";"gateway_node_3574";"gateway_node_2987";"gateway_node_244";"gateway_node_610";"gateway_node_4574";"gateway_node_4662";"gateway_node_257";"gateway_node_3303";"gateway_node_2423";"gateway_node_3201";"gateway_node_4779";"gateway_node_3648";"gateway_node_283";"gateway_node_105";"gateway_node_3264";"gateway_node_3455";"gateway_node_563";"gateway_node_5041";"gateway_node_4335";"gateway_node_3378";"gateway_node_3741";"gateway_node_2029";"gateway_node_3890";"gateway_node_5063";"gateway_node_5064";"gateway_node_1125";"gateway_node_1359";"gateway_node_983";"gateway_node_4398";"gateway_node_2198";"gateway_node_4312";"gateway_node_2469";"gateway_node_1948";"gateway_node_3653"
"gateway_node_1972";1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1
"gateway_node_5232";0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0
"gateway_node_4001";1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_4620";1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
"gateway_node_2229";1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;0
"gateway_node_3574";0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1
"gateway_node_2987";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_244";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_610";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0
"gateway_node_4574";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_4662";1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1
"gateway_node_257";1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1
"gateway_node_3303";0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1
"gateway_node_2423";0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1
"gateway_node_3201";1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;1
"gateway_node_4779";0;0;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1
"gateway_node_3648";1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1
"gateway_node_283";1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_105";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_3264";0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1
"gateway_node_3455";1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;0
"gateway_node_563";0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1
"gateway_node_5041";1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0
"gateway_node_4335";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0;1
"gateway_node_3378";0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0
"gateway_node_3741";0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1
"gateway_node_2029";0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
"gateway_node_3890";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5063";1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0
"gateway_node_5064";1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1
"gateway_node_1125";0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1
"gateway_node_1359";1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;0
"gateway_node_983";1;0;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;1
"gateway_node_4398";1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2198";1;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_4312";1;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;1;1;1
"gateway_node_2469";0;0;1;0;1;1;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0
"gateway_node_1948";1;1;1;0;0;0;1;1;0;0;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;1;0;0
"gateway_node_3653";1;0;1;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;0;0
