"";"mangal_node_0239";"mangal_node_0329";"mangal_node_0090";"mangal_node_0232";"mangal_node_0346";"mangal_node_0234";"mangal_node_0268";"mangal_node_0341";"mangal_node_0298";"mangal_node_0392";"mangal_node_0311";"mangal_node_0312";"mangal_node_0340";"mangal_node_0242";"mangal_node_0273";"mangal_node_0274";"mangal_node_0243";"mangal_node_0251";"mangal_node_0289";"mangal_node_0230"
"mangal_node_0239";0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_0329";1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;0
"mangal_node_0090";0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0232";0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0
"mangal_node_0346";0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"mangal_node_0234";0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_0268";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"mangal_node_0341";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0298";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_0392";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_0311";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"mangal_node_0312";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
"mangal_node_0340";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"mangal_node_0242";0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0;0;1
"mangal_node_0273";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0274";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0243";1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0
"mangal_node_0251";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0289";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_0230";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
