"";"gateway_node_4425";"gateway_node_1241";"gateway_node_2721";"gateway_node_4450";"gateway_node_747";"gateway_node_645";"gateway_node_786";"gateway_node_3457";"gateway_node_1587";"gateway_node_784";"gateway_node_787";"gateway_node_788";"gateway_node_3048";"gateway_node_2459";"gateway_node_2953";"gateway_node_3727";"gateway_node_2812";"gateway_node_4083";"gateway_node_3365";"gateway_node_484";"gateway_node_2700";"gateway_node_3815";"gateway_node_3771";"gateway_node_3772";"gateway_node_1665";"gateway_node_4637";"gateway_node_4820";"gateway_node_4885";"gateway_node_2838";"gateway_node_2707";"gateway_node_3828";"gateway_node_3827";"gateway_node_1599";"gateway_node_4004";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_1289";"gateway_node_3010";"gateway_node_3042";"gateway_node_3712";"gateway_node_2867";"gateway_node_3767";"gateway_node_4941";"gateway_node_5101";"gateway_node_5140";"gateway_node_5217";"gateway_node_5222";"gateway_node_3553";"gateway_node_3070";"gateway_node_3514";"gateway_node_3622";"gateway_node_5160";"gateway_node_601";"gateway_node_3510";"gateway_node_3516";"gateway_node_4713";"gateway_node_3009";"gateway_node_3011";"gateway_node_782";"gateway_node_1783";"gateway_node_3871";"gateway_node_3937";"gateway_node_4063";"gateway_node_4247";"gateway_node_4799";"gateway_node_4800";"gateway_node_4388";"gateway_node_528";"gateway_node_118";"gateway_node_4332";"gateway_node_1618";"gateway_node_1870";"gateway_node_2595";"gateway_node_2596";"gateway_node_1616";"gateway_node_936";"gateway_node_1755";"gateway_node_1947";"gateway_node_861";"gateway_node_1757";"gateway_node_3081";"gateway_node_3166";"gateway_node_4347";"gateway_node_486";"gateway_node_1565";"gateway_node_181";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_4425";1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_1241";1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_2721";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
"gateway_node_4450";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1
"gateway_node_747";1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
"gateway_node_645";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_786";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"gateway_node_3457";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;1;1
"gateway_node_1587";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
"gateway_node_784";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
