"";"gateway_node_3186";"gateway_node_4017";"gateway_node_5232";"gateway_node_1789";"gateway_node_2235";"gateway_node_3435";"gateway_node_1978";"gateway_node_2775";"gateway_node_2777";"gateway_node_2778";"gateway_node_4831";"gateway_node_3890";"gateway_node_5067";"gateway_node_1932";"gateway_node_3793";"gateway_node_984";"gateway_node_4256";"gateway_node_4312";"gateway_node_1050";"gateway_node_1411"
"gateway_node_3186";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_4017";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5232";0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0
"gateway_node_1789";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_2235";0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1
"gateway_node_3435";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"gateway_node_1978";1;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0
"gateway_node_2775";0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;0;1;0;0;0
"gateway_node_2777";0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0
"gateway_node_2778";0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0
"gateway_node_4831";0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0
"gateway_node_3890";0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
"gateway_node_5067";0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0
"gateway_node_1932";0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
"gateway_node_3793";0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0
"gateway_node_984";0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0
"gateway_node_4256";0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0
"gateway_node_4312";1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
"gateway_node_1050";0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_1411";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
