"";"gateway_node_4001";"gateway_node_1686";"gateway_node_183";"gateway_node_3186";"gateway_node_5232";"gateway_node_1789";"gateway_node_1687";"gateway_node_3435";"gateway_node_1978";"gateway_node_544";"gateway_node_2775";"gateway_node_2777";"gateway_node_2778";"gateway_node_4831";"gateway_node_40";"gateway_node_3264";"gateway_node_3890";"gateway_node_1932";"gateway_node_4256";"gateway_node_4258"
"gateway_node_4001";1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1
"gateway_node_1686";1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_183";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1
"gateway_node_3186";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5232";1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0
"gateway_node_1789";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_1687";1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3435";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1978";1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"gateway_node_544";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2775";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"gateway_node_2777";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"gateway_node_2778";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"gateway_node_4831";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"gateway_node_40";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1
"gateway_node_3264";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
"gateway_node_3890";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_1932";1;0;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0
"gateway_node_4256";1;0;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0
"gateway_node_4258";1;0;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0
