"";"gateway_node_2423";"gateway_node_3201";"gateway_node_4001";"gateway_node_3646";"gateway_node_2079";"gateway_node_805";"gateway_node_3147";"gateway_node_5232";"gateway_node_1972";"gateway_node_807";"gateway_node_3499";"gateway_node_3264";"gateway_node_3435";"gateway_node_3185";"gateway_node_2302";"gateway_node_4574";"gateway_node_2719";"gateway_node_4779";"gateway_node_463";"gateway_node_3673";"gateway_node_2592";"gateway_node_2031";"gateway_node_2351";"gateway_node_563";"gateway_node_4598";"gateway_node_257";"gateway_node_4662";"gateway_node_729";"gateway_node_2644";"gateway_node_3648";"gateway_node_3645";"gateway_node_3916";"gateway_node_4335";"gateway_node_3455";"gateway_node_282";"gateway_node_2432";"gateway_node_3379";"gateway_node_2939";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_1125";"gateway_node_1314";"gateway_node_4590";"gateway_node_4366";"gateway_node_456";"gateway_node_2769";"gateway_node_870";"gateway_node_2563";"gateway_node_1571"
"gateway_node_2423";1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1
"gateway_node_3201";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_4001";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1
"gateway_node_3646";1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_2079";1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1
"gateway_node_805";1;0;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1
"gateway_node_3147";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
"gateway_node_5232";0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1
"gateway_node_1972";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1
"gateway_node_807";0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3499";1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
"gateway_node_3264";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3435";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
