"";"WOL_node_3919";"WOL_node_9770";"WOL_node_6442";"WOL_node_11345";"WOL_node_11448";"WOL_node_3871";"WOL_node_172";"WOL_node_6581";"WOL_node_7408";"WOL_node_6122";"WOL_node_1531";"WOL_node_3302";"WOL_node_1534";"WOL_node_3831";"WOL_node_6650";"WOL_node_11562";"WOL_node_5185";"WOL_node_3870";"WOL_node_8167";"WOL_node_3299";"WOL_node_3300";"WOL_node_1629";"WOL_node_11563";"WOL_node_576";"WOL_node_11105";"WOL_node_10926";"WOL_node_8609";"WOL_node_7509";"WOL_node_3479";"WOL_node_11452";"WOL_node_5365";"WOL_node_1532";"WOL_node_10096";"WOL_node_12060";"WOL_node_1533";"WOL_node_1604";"WOL_node_7450";"WOL_node_7862";"WOL_node_4217";"WOL_node_7171";"WOL_node_11557";"WOL_node_6590";"WOL_node_4264";"WOL_node_802"
"WOL_node_3919";0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0
"WOL_node_9770";1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"WOL_node_6442";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11345";0;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_11448";0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;0
"WOL_node_3871";0;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1
"WOL_node_172";0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0
"WOL_node_6581";0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0
"WOL_node_7408";0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0
"WOL_node_6122";0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1
"WOL_node_1531";1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1
"WOL_node_3302";0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0
"WOL_node_1534";0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0;1;0
"WOL_node_3831";1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;1;1;0
"WOL_node_6650";0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0
"WOL_node_11562";0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0
"WOL_node_5185";0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1
"WOL_node_3870";1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;0
"WOL_node_8167";0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0
"WOL_node_3299";0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0
"WOL_node_3300";1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0
"WOL_node_1629";0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0
"WOL_node_11563";0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1
"WOL_node_576";0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0
"WOL_node_11105";0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
"WOL_node_10926";0;0;0;0;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;1;1
"WOL_node_8609";0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0
"WOL_node_7509";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0
"WOL_node_3479";1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0
"WOL_node_11452";1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;1
"WOL_node_5365";0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_1532";1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0
"WOL_node_10096";0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"WOL_node_12060";0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0
"WOL_node_1533";0;0;0;0;1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;1;0
"WOL_node_1604";0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1
"WOL_node_7450";1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0
"WOL_node_7862";0;0;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0
"WOL_node_4217";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_7171";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11557";0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0
"WOL_node_6590";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_4264";1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0
"WOL_node_802";0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
