"";"gateway_node_1151";"gateway_node_5232";"gateway_node_4836";"gateway_node_2948";"gateway_node_3182";"gateway_node_3788";"gateway_node_2446";"gateway_node_2449";"gateway_node_4497";"gateway_node_4001";"gateway_node_2799";"gateway_node_1857";"gateway_node_1530";"gateway_node_3614";"gateway_node_574";"gateway_node_4694";"gateway_node_3890";"gateway_node_921";"gateway_node_4396";"gateway_node_468";"gateway_node_527";"gateway_node_1435"
"gateway_node_1151";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
"gateway_node_5232";0;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;0;1;1
"gateway_node_4836";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_2948";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_3182";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"gateway_node_3788";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_2446";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2449";1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0
"gateway_node_4497";0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0
"gateway_node_4001";0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_2799";0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_1857";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1
"gateway_node_1530";0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
"gateway_node_3614";0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0
"gateway_node_574";0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1
"gateway_node_4694";0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_3890";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0
"gateway_node_921";0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0
"gateway_node_4396";0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0
"gateway_node_468";1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1
"gateway_node_527";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1
"gateway_node_1435";0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0
