"";"gateway_node_2377";"gateway_node_1151";"gateway_node_5232";"gateway_node_4135";"gateway_node_1058";"gateway_node_2316";"gateway_node_1258";"gateway_node_4779";"gateway_node_2449";"gateway_node_1972";"gateway_node_4001";"gateway_node_2437";"gateway_node_4808";"gateway_node_895";"gateway_node_574";"gateway_node_206";"gateway_node_3647";"gateway_node_1769";"gateway_node_3482";"gateway_node_3124";"gateway_node_686";"gateway_node_3643";"gateway_node_3890";"gateway_node_3631";"gateway_node_1435";"gateway_node_33";"gateway_node_2384";"gateway_node_2766";"gateway_node_3264"
"gateway_node_2377";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1151";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_5232";0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"gateway_node_4135";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1058";1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"gateway_node_2316";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1258";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"gateway_node_4779";0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0
"gateway_node_2449";0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0
"gateway_node_1972";0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0
"gateway_node_4001";0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_2437";0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
"gateway_node_4808";0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_895";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"gateway_node_574";0;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1
"gateway_node_206";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
"gateway_node_3647";0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0
"gateway_node_1769";0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3482";0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"gateway_node_3124";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_686";0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0
"gateway_node_3643";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_3890";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3631";0;0;1;0;1;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_1435";0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0
"gateway_node_33";0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;0;0
"gateway_node_2384";0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0
"gateway_node_2766";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_3264";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
