"";"gateway_node_2409";"gateway_node_823";"gateway_node_1847";"gateway_node_2606";"gateway_node_1326";"gateway_node_1327";"gateway_node_1329";"gateway_node_1333";"gateway_node_1381";"gateway_node_2493";"gateway_node_2496";"gateway_node_2490";"gateway_node_2491";"gateway_node_5021";"gateway_node_457";"gateway_node_2314";"gateway_node_3014";"gateway_node_1277";"gateway_node_3993";"gateway_node_1141";"gateway_node_3994";"gateway_node_1647";"gateway_node_1988";"gateway_node_3991";"gateway_node_4965";"gateway_node_630";"gateway_node_1139";"gateway_node_2494";"gateway_node_2622";"gateway_node_1119";"gateway_node_1374";"gateway_node_1150";"gateway_node_2835";"gateway_node_4504";"gateway_node_4380";"gateway_node_3356";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_1233";"gateway_node_1234";"gateway_node_4303";"gateway_node_2133";"gateway_node_2909";"gateway_node_4641";"gateway_node_1443";"gateway_node_1446";"gateway_node_4595";"gateway_node_4763";"gateway_node_4623";"gateway_node_1011";"gateway_node_1430";"gateway_node_4839";"gateway_node_4429";"gateway_node_2983";"gateway_node_3745";"gateway_node_1194";"gateway_node_1560";"gateway_node_4419";"gateway_node_335";"gateway_node_1280";"gateway_node_1281";"gateway_node_1224";"gateway_node_1225";"gateway_node_1226";"gateway_node_1227";"gateway_node_637";"gateway_node_296";"gateway_node_3003";"gateway_node_998";"gateway_node_334";"gateway_node_262";"gateway_node_3777";"gateway_node_3780";"gateway_node_3196"
"gateway_node_2409";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_823";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1847";0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_2606";0;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_1326";0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1
"gateway_node_1327";0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0
"gateway_node_1329";0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1
"gateway_node_1333";0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0
"gateway_node_1381";0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1
"gateway_node_2493";0;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2496";0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_2490";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
"gateway_node_2491";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1
"gateway_node_5021";0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1
