"";"mangal_node_4194";"mangal_node_4197";"mangal_node_4827";"mangal_node_4193";"mangal_node_4198";"mangal_node_4828";"mangal_node_3616";"mangal_node_0434";"mangal_node_4096";"mangal_node_0038";"mangal_node_4829";"mangal_node_4833";"mangal_node_4195";"mangal_node_4830";"mangal_node_4831";"mangal_node_4832";"mangal_node_4834";"mangal_node_0443";"mangal_node_0090";"mangal_node_4641";"mangal_node_4825";"mangal_node_4826";"mangal_node_0448"
"mangal_node_4194";0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;1;1
"mangal_node_4197";1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1
"mangal_node_4827";0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;1;0;0
"mangal_node_4193";1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0
"mangal_node_4198";0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1
"mangal_node_4828";0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0
"mangal_node_3616";1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1
"mangal_node_0434";1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1
"mangal_node_4096";1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_0038";0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0
"mangal_node_4829";0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0
"mangal_node_4833";1;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;1
"mangal_node_4195";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;1;0
"mangal_node_4830";0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
"mangal_node_4831";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0
"mangal_node_4832";1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;1;1
"mangal_node_4834";1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0
"mangal_node_0443";0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1
"mangal_node_0090";0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1
"mangal_node_4641";1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0
"mangal_node_4825";1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0
"mangal_node_4826";0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;0;1;0;0
"mangal_node_0448";0;1;0;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0
