"";"gateway_node_2409";"gateway_node_1847";"gateway_node_2606";"gateway_node_1022";"gateway_node_823";"gateway_node_1381";"gateway_node_2493";"gateway_node_2496";"gateway_node_2490";"gateway_node_2314";"gateway_node_1988";"gateway_node_3991";"gateway_node_4965";"gateway_node_630";"gateway_node_2494";"gateway_node_892";"gateway_node_1325";"gateway_node_1374";"gateway_node_1150";"gateway_node_5021";"gateway_node_1715";"gateway_node_1275";"gateway_node_4380";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_1233";"gateway_node_1234";"gateway_node_4640";"gateway_node_4641";"gateway_node_4595";"gateway_node_4763";"gateway_node_4241";"gateway_node_4839";"gateway_node_2908";"gateway_node_465";"gateway_node_439";"gateway_node_440";"gateway_node_4420";"gateway_node_1281";"gateway_node_637";"gateway_node_3014";"gateway_node_3776";"gateway_node_4756"
"gateway_node_2409";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1847";1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_2606";0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_1022";0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_823";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1381";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
"gateway_node_2493";0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2496";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
"gateway_node_2490";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2314";1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0
