"";"gateway_node_2423";"gateway_node_5034";"gateway_node_4001";"gateway_node_2718";"gateway_node_3646";"gateway_node_2079";"gateway_node_805";"gateway_node_5232";"gateway_node_1972";"gateway_node_3499";"gateway_node_3147";"gateway_node_3185";"gateway_node_807";"gateway_node_719";"gateway_node_3264";"gateway_node_3435";"gateway_node_4779";"gateway_node_3665";"gateway_node_3673";"gateway_node_105";"gateway_node_22";"gateway_node_2592";"gateway_node_2618";"gateway_node_2031";"gateway_node_4335";"gateway_node_3455";"gateway_node_563";"gateway_node_2780";"gateway_node_356";"gateway_node_4598";"gateway_node_729";"gateway_node_2795";"gateway_node_3916";"gateway_node_282";"gateway_node_5040";"gateway_node_5036";"gateway_node_3379";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_1125";"gateway_node_1314";"gateway_node_4590";"gateway_node_1571";"gateway_node_2769";"gateway_node_865";"gateway_node_870";"gateway_node_1258"
"gateway_node_2423";0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0
"gateway_node_5034";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0
"gateway_node_4001";1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2718";1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0
"gateway_node_3646";0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1
"gateway_node_2079";1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1
"gateway_node_805";0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0;1
"gateway_node_5232";1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1972";0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0
"gateway_node_3499";0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0
"gateway_node_3147";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"gateway_node_3185";0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_807";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_719";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3264";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3435";0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4779";0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0
"gateway_node_3665";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0
"gateway_node_3673";0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0
