"";"gateway_node_5";"gateway_node_7";"gateway_node_782";"gateway_node_2750";"gateway_node_2737";"gateway_node_2755";"gateway_node_2015";"gateway_node_2740";"gateway_node_2756";"gateway_node_2760";"gateway_node_2014";"gateway_node_4698";"gateway_node_2914";"gateway_node_4285";"gateway_node_489";"gateway_node_3600";"gateway_node_216";"gateway_node_1112";"gateway_node_1466";"gateway_node_2164";"gateway_node_2700";"gateway_node_3064";"gateway_node_3815";"gateway_node_4338";"gateway_node_2168";"gateway_node_1077";"gateway_node_1111";"gateway_node_746";"gateway_node_2216";"gateway_node_2218";"gateway_node_1753";"gateway_node_4885";"gateway_node_5172";"gateway_node_4379";"gateway_node_5167";"gateway_node_2721";"gateway_node_645";"gateway_node_3457";"gateway_node_1587";"gateway_node_4479";"gateway_node_423";"gateway_node_4207";"gateway_node_878";"gateway_node_2395";"gateway_node_2459";"gateway_node_2953";"gateway_node_3727";"gateway_node_365";"gateway_node_370";"gateway_node_2818";"gateway_node_3398";"gateway_node_4083";"gateway_node_3397";"gateway_node_1366";"gateway_node_4127";"gateway_node_4714";"gateway_node_1756";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_4976";"gateway_node_188";"gateway_node_2484";"gateway_node_1289";"gateway_node_3010";"gateway_node_3712";"gateway_node_5161";"gateway_node_1631";"gateway_node_1994";"gateway_node_2575";"gateway_node_2579";"gateway_node_2850";"gateway_node_3618";"gateway_node_3626";"gateway_node_3767";"gateway_node_4139";"gateway_node_4939";"gateway_node_5099";"gateway_node_5136";"gateway_node_5139";"gateway_node_5140";"gateway_node_5217";"gateway_node_5222";"gateway_node_598";"gateway_node_1486";"gateway_node_2392";"gateway_node_3553";"gateway_node_3070";"gateway_node_3511";"gateway_node_3514";"gateway_node_3517";"gateway_node_3515";"gateway_node_4713";"gateway_node_3255";"gateway_node_3703";"gateway_node_4943";"gateway_node_2165";"gateway_node_4345";"gateway_node_2664";"gateway_node_3864";"gateway_node_3937";"gateway_node_4246";"gateway_node_4247";"gateway_node_4388";"gateway_node_528";"gateway_node_1870";"gateway_node_2596";"gateway_node_4922";"gateway_node_51";"gateway_node_4174";"gateway_node_3310";"gateway_node_3311";"gateway_node_3103";"gateway_node_2048";"gateway_node_100";"gateway_node_888";"gateway_node_933";"gateway_node_936";"gateway_node_1947";"gateway_node_5020";"gateway_node_1262";"gateway_node_3584";"gateway_node_3166";"gateway_node_4347";"gateway_node_161";"gateway_node_485";"gateway_node_486";"gateway_node_1565";"gateway_node_181";"gateway_node_1117";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_5";1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_7";1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_782";1;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_2750";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0
"gateway_node_2737";0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0
"gateway_node_2755";1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0
"gateway_node_2015";0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0
"gateway_node_2740";1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;0
"gateway_node_2756";0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0
"gateway_node_2760";0;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;0
