"";"mangal_node_0263";"mangal_node_0236";"mangal_node_0231";"mangal_node_0090";"mangal_node_0232";"mangal_node_0233";"mangal_node_0234";"mangal_node_0267";"mangal_node_0239";"mangal_node_0307";"mangal_node_0298";"mangal_node_0271";"mangal_node_0343";"mangal_node_0240";"mangal_node_0312";"mangal_node_0281";"mangal_node_0344";"mangal_node_0273";"mangal_node_0242";"mangal_node_0243";"mangal_node_0390";"mangal_node_0245";"mangal_node_0278";"mangal_node_0246";"mangal_node_0287";"mangal_node_0248";"mangal_node_0249";"mangal_node_0326";"mangal_node_0250";"mangal_node_0251";"mangal_node_0289";"mangal_node_0230";"mangal_node_0254";"mangal_node_0305";"mangal_node_0398"
"mangal_node_0263";1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0236";1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1
"mangal_node_0231";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0090";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0232";1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1
"mangal_node_0233";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"mangal_node_0234";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0267";0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0239";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0307";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0298";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
