"";"gateway_node_5232";"gateway_node_1014";"gateway_node_1033";"gateway_node_3574";"gateway_node_1717";"gateway_node_4001";"gateway_node_3817";"gateway_node_1972";"gateway_node_1730";"gateway_node_4135";"gateway_node_4779";"gateway_node_249";"gateway_node_3435";"gateway_node_4662";"gateway_node_1056";"gateway_node_609";"gateway_node_2411";"gateway_node_895";"gateway_node_4694";"gateway_node_3890";"gateway_node_4588";"gateway_node_4592";"gateway_node_33";"gateway_node_1156";"gateway_node_2769";"gateway_node_2384";"gateway_node_2117"
"gateway_node_5232";1;0;0;0;1;1;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1
"gateway_node_1014";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_1033";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3574";0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1
"gateway_node_1717";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_4001";1;0;0;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1
"gateway_node_3817";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_1972";1;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0
"gateway_node_1730";0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0
"gateway_node_4135";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_4779";1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1
"gateway_node_249";1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;1
"gateway_node_3435";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0
"gateway_node_4662";1;0;0;0;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1
"gateway_node_1056";0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1
"gateway_node_609";1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0
"gateway_node_2411";0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;0;1;0
"gateway_node_895";1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_4694";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_3890";1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0
"gateway_node_4588";1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0
"gateway_node_4592";1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1
"gateway_node_33";0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
"gateway_node_1156";1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1
"gateway_node_2769";1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1
"gateway_node_2384";1;0;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_2117";0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1
